"","player_id","rank","player","hr_a","seasons"
"1",12169,1,"Brianna Lopez",12,"2022-2023"
"2",9569,2,"Sophie Howell",13,"2021-2023"
"3",10000,2,"Aubrion James",13,"2017-2021"
"4",3660,4,"Morgan Clausen",14,"2019-2022"
"5",7204,4,"Jazmine Gendorf",14,"2020-2023"
"6",10685,4,"Alyssa Kelly",14,"2022-2023"
"7",13665,4,"Marissa Mesiemore",14,"2018-2022"
"8",17157,8,"Alexis Robinson",15,"2020-2023"
"9",17445,8,"Courtney Rose",15,"2020-2023"
"10",17471,8,"Hannah Ross",15,"2020-2023"
"11",18632,8,"Emily Siler",15,"2021-2023"
"12",21717,8,"Ryley White",15,"2020-2023"
"13",10368,13,"Deborah Jones",16,"2020-2023"
"14",13786,13,"Ashley Miller",16,"2021-2023"
"15",15122,13,"Kiara Oliver",16,"2018-2020"
"16",19730,13,"Lyndie Swanson",16,"2020-2023"
"17",20912,13,"Grace Vesco",16,"2020-2023"
"18",7118,18,"Megan Garst",17,"2019-2021"
"19",11180,18,"Erin Kownacki",17,"2015-2017"
"20",11273,18,"Katie Kudlacik",17,"2019-2022"
"21",13942,18,"Bailey Misken",17,"2020-2023"
"22",5095,22,"Regan Dias",18,"2019-2023"
"23",8095,22,"Annie Gunther",18,"2020-2023"
"24",13760,22,"Aeshia Miles",18,"2017-2019"
"25",18199,22,"Maddie Schwartz",18,"2019-2023"
"26",21474,22,"Faith Weber",18,"2017-2021"
"27",21783,22,"Amelia Wiercioch",18,"2018-2023"
"28",906,28,"Amber Baldwin",19,"2018-2021"
"29",1790,28,"Allison Boaz",19,"2020-2023"
"30",6425,28,"Taylor Fitzgerald",19,"2020-2023"
"31",12350,28,"Maddi Lusk",19,"2017-2021"
"32",13717,28,"Bry Michitson",19,"2020-2023"
"33",15927,28,"Emily Phelan",19,"2021-2023"
"34",16435,28,"Morgan Rackel",19,"2018-2019"
"35",16806,28,"Naomi Reyes",19,"2019-2022"
"36",18444,28,"Lauren Shaw",19,"2018-2023"
"37",18520,28,"Hannah Shields",19,"2017-2020"
"38",20715,28,"Elena Valenzuela",19,"2019-2022"
"39",22058,28,"Emily Winburn",19,"2020-2023"
"40",5342,40,"Ambria Dorsey",20,"2017-2021"
"41",11726,40,"Kaitlin Lee",20,"2017-2018"
"42",12011,40,"Amber Linton",20,"2021-2023"
"43",14237,40,"Tieghan Morio",20,"2019-2023"
"44",17826,40,"Rio Sanchez",20,"2018-2021"
"45",19194,40,"Jaclyn Spencer",20,"2017-2020"
"46",148,46,"Brianna Aguilar",21,"2017-2020"
"47",3288,46,"Jada Cecil",21,"2022-2023"
"48",5677,46,"Alex Echazarreta",21,"2019-2023"
"49",7833,46,"Sydney Green",21,"2021-2023"
"50",12739,46,"Rachel Marsden",21,"2020-2023"
"51",599,51,"Haylei Archer",22,"2021-2023"
"52",5724,51,"Clara Edwards",22,"2022-2023"
"53",8724,51,"Mia Haynes",22,"2021-2023"
"54",10390,51,"Jannay Jones",22,"2019-2022"
"55",10585,51,"Caitlin Karo",22,"2018-2021"
"56",12392,51,"Liz Lynchard",22,"2020-2023"
"57",14166,51,"Seana Mora",22,"2017-2021"
"58",15572,51,"Rylee Pate",22,"2017-2021"
"59",15763,51,"Jenna Perez",22,"2021-2023"
"60",22590,51,"Heather Zumo",22,"2020-2022"
"61",7388,61,"Taylor Ginther",23,"2017-2020"
"62",9048,61,"Samantha Heyer",23,"2020-2023"
"63",10930,61,"Emily Kirby",23,"2018-2022"
"64",12246,61,"Raven Loveless",23,"2019-2022"
"65",12916,61,"Charlie Masterson",23,"2017-2021"
"66",4986,66,"Shelbi Denman",24,"2019-2023"
"67",7551,66,"Halyne Gonzales",24,"2022-2023"
"68",7897,66,"Sam Gress",24,"2020-2023"
"69",9413,66,"Michaela Hood",24,"2017-2020"
"70",12468,66,"Stefanie Madrigal",24,"2020-2023"
"71",15280,66,"Olivia Otani",24,"2019-2023"
"72",18901,66,"Isabella Smith",24,"2022-2023"
"73",19674,66,"Emma Summers",24,"2021-2023"
"74",20496,66,"Allie Trudeau",24,"2017-2020"
"75",40,75,"Melissa Abrahamian",25,"2018-2022"
"76",791,75,"Sydney Baalman",25,"2021-2023"
"77",1914,75,"Anna Borgen",25,"2018-2022"
"78",3067,75,"Vanessa Carrizosa",25,"2021-2023"
"79",5302,75,"Kate Donaldson",25,"2018-2021"
"80",6792,75,"Sophie Frost",25,"2017-2021"
"81",7431,75,"Kylie Gletow",25,"2020-2023"
"82",9732,75,"Anaya Hunte",25,"2021-2023"
"83",9972,75,"Molly Jacobsen",25,"2019-2021"
"84",11034,75,"Tori Kniesche",25,"2021-2023"
"85",11781,75,"Morgan Leinstock",25,"2020-2023"
"86",15192,75,"Dariana Orme",25,"2020-2023"
"87",15737,75,"Peyton Pepkowski",25,"2022-2023"
"88",347,88,"Krystyna Allman",26,"2019-2022"
"89",2953,88,"Lovina Capria",26,"2018-2021"
"90",7316,88,"Megan Giese",26,"2021-2023"
"91",9879,88,"Alyssa Irons",26,"2017-2021"
"92",10837,88,"Lexi Kilfoyl",26,"2020-2023"
"93",11422,88,"Kandra Lamb",26,"2019-2023"
"94",12184,88,"Lindsay Lopez",26,"2020-2023"
"95",14892,88,"Claire Norred",26,"2021-2023"
"96",15812,88,"Brooke Perry",26,"2017-2021"
"97",21240,88,"Shelby Walters",26,"2019-2023"
"98",1260,98,"Kayla Beaver",27,"2020-2023"
"99",2071,98,"Vanessa Bradford",27,"2017-2021"
"100",2448,98,"Mackenzie Bryan",27,"2018-2021"
