"","player_id","rank","player","hr","seasons"
"1",360,1,"Jocelyn Alo",120,"2018-2022"
"2",4663,2.5,"Mia Davidson",91,"2018-2022"
"3",8459,2.5,"Jessie Harper",91,"2017-2021"
"4",21318,4,"Jessie Warren",83,"2015-2018"
"5",15953,5,"Erika Piancastelli",75,"2015-2018"
"6",3916,6,"Jenna Cone",73,"2017-2021"
"7",7659,7,"Kate Gordon",71,"2017-2021"
"8",4982,9.5,"Natalie Denhartog",70,"2019-2023"
"9",11778,9.5,"Ulufa Leilua",70,"2016-2021"
"10",11977,9.5,"Kendyl Lindaman",70,"2017-2021"
"11",19428,9.5,"Mya Stevenson",70,"2019-2023"
"12",1025,12.5,"Addison Barnard",69,"2021-2023"
"13",10121,12.5,"Tiare Jennings",69,"2021-2023"
"14",1620,16.5,"Amber Bishop",68,"2017-2021"
"15",5117,16.5,"Alyssa Dicarlo",68,"2016-2019"
"16",9484,16.5,"Kelsey Horton",68,"2016-2019"
"17",12995,16.5,"Katiyana Mauga",68,"2015-2017"
"18",15417,16.5,"Alyssa Palomino",68,"2017-2021"
"19",17618,16.5,"Linda Rush",68,"2017-2021"
"20",14380,21.5,"Dejah Mulipola",67,"2017-2021"
"21",17846,21.5,"Dj Sanders",67,"2015-2018"
"22",19147,21.5,"Karli Spaid",67,"2021-2023"
"23",20786,21.5,"Bailey Vannoy",67,"2019-2023"
"24",7561,24.5,"Alyssa Gonzalez",66,"2017-2023"
"25",21933,24.5,"Sami Williams",66,"2017-2021"
"26",5411,27.5,"Ivie Drake",65,"2015-2018"
"27",11909,27.5,"Rachel Lewis",65,"2018-2022"
"28",16595,27.5,"Paige Rauch",65,"2018-2022"
"29",20942,27.5,"Tori Vidales",65,"2015-2018"
"30",8847,30,"Bailey Hemphill",64,"2017-2021"
"31",17215,31,"Taylor Roby",63,"2019-2023"
"32",2296,32.5,"Suzy Brookshire",62,"2017-2021"
"33",10998,32.5,"Baylee Klingler",62,"2019-2023"
"34",11717,34.5,"Haley Lee",61,"2019-2023"
"35",21588,34.5,"Kimberly Wert",61,"2018-2022"
"36",6510,36.5,"Morganne Flores",60,"2016-2021"
"37",7288,36.5,"Danielle Gibson",60,"2018-2022"
"38",2760,39.5,"Valerie Cagle",59,"2020-2023"
"39",3439,39.5,"Abbey Cheek",59,"2016-2019"
"40",8074,39.5,"Marissa Guimbarda",59,"2018-2022"
"41",13147,39.5,"Rachel Mccollum",59,"2016-2021"
"42",12399,42.5,"Grace Lyons",58,"2019-2023"
"43",15803,42.5,"Madison Perrigan",58,"2017-2021"
"44",2551,45.5,"Sammey Bunch",57,"2017-2021"
"45",7869,45.5,"Meghan Gregg",57,"2015-2018"
"46",14904,45.5,"Hayley Norton",57,"2016-2019"
"47",22115,45.5,"Delanie Wisz",57,"2018-2022"
"48",7956,48,"Maddy Grimm",56,"2015-2017"
"49",4237,50.5,"Aleah Craighton",55,"2015-2018"
"50",8164,50.5,"Maddi Hackbarth",55,"2017-2021"
"51",12196,50.5,"Ramsay Lopez",55,"2020-2023"
"52",13872,50.5,"Kiki Milloy",55,"2020-2023"
"53",2087,53,"Maya Brady",54,"2020-2023"
"54",5176,56.5,"Kristi Dimeo",53,"2018-2022"
"55",7539,56.5,"Jordan Gontram",53,"2017-2022"
"56",14679,56.5,"Morgan Nelson",53,"2016-2023"
"57",15203,56.5,"Lexi Orozco",53,"2019-2023"
"58",17396,56.5,"Sydney Romero",53,"2016-2019"
"59",19167,56.5,"Delaney Spaulding",53,"2015-2017"
"60",3753,62.5,"Erin Coffel",52,"2021-2023"
"61",4432,62.5,"Allie Cummins",52,"2020-2023"
"62",5829,62.5,"Ashley Ellis",52,"2017-2021"
"63",8309,62.5,"Frankie Hammoude",52,"2019-2023"
"64",8469,62.5,"Aly Harrell",52,"2018-2022"
"65",16253,62.5,"Katie Prebble",52,"2018-2022"
"66",145,68,"Ali Aguilar",51,"2015-2017"
"67",2649,68,"Meredith Burroughs",51,"2015-2018"
"68",9488,68,"Savannah Horvath",51,"2015-2018"
"69",12051,68,"Megan Litumbe",51,"2015-2018"
"70",21142,68,"Alexis Walkden",51,"2015-2018"
"71",750,75,"Huntyr Ava",50,"2020-2023"
"72",4488,75,"Lexi Cushing",50,"2017-2021"
"73",5806,75,"Lexie Elkins",50,"2015-2016"
"74",6209,75,"Alysen Febrey",50,"2017-2021"
"75",8264,75,"Cylie Halvorson",50,"2020-2023"
"76",9820,75,"Mary Iakopo",50,"2018-2022"
"77",10136,75,"Rylee Jensen",50,"2017-2021"
"78",10180,75,"Jana Johns",50,"2018-2022"
"79",12558,75,"Linnie Malkin",50,"2018-2022"
"80",3403,83.5,"Denae Chatman",49,"2018-2022"
"81",4034,83.5,"Kasey Cooper",49,"2015-2017"
"82",5750,83.5,"Tristen Edwards",49,"2017-2021"
"83",6078,83.5,"Nicole Evans",49,"2015-2017"
"84",11943,83.5,"Danielle Liermann",49,"2016-2019"
"85",12077,83.5,"Emily Lochten",49,"2015-2018"
