"","player_id","rank","player","ip","seasons"
"1",17614,1,"Randi Rupp",1049.4,"2015-2018"
"2",4102,2,"Georgina Corrick",980.6,"2018-2022"
"3",21677,3,"Alea White",967.7,"2017-2021"
"4",1479,4,"Lindsey Bert",929.2,"2015-2018"
"5",10272,5,"Leanna Johnson",889.3,"2019-2023"
"6",15963,6,"Brittany Pickett",888.9,"2017-2021"
"7",13059,7,"Mariah Mazon",868.1,"2018-2022"
"8",15509,8,"Paige Parker",866.4,"2015-2018"
"9",17326,9,"Ashley Rogers",849.6,"2015-2023"
"10",21878,10,"Danielle Williams",846.5,"2019-2023"
"11",6394,11,"Amber Fiser",845.7,"2017-2021"
"12",10352,12,"Brianna Jones",843.2,"2016-2019"
"13",7611,13,"Megan Good",835.5,"2015-2019"
"14",16064,14,"Gabbie Plain",831.3,"2018-2022"
"15",469,15,"Emily Anderson",829.4,"2015-2018"
"16",18369,16,"Jacquelyn Sertic",826.4,"2015-2018"
"17",813,17,"Sydney Backstrom",824.6,"2018-2022"
"18",5216,18,"Jordan Dixon",824.3,"2015-2017"
"19",6627,19,"Montana Fouts",823.6,"2019-2023"
"20",11498,20,"Sierra Lange",821.4,"2018-2022"
"21",12192,21,"Mariah Lopez",802.3,"2017-2023"
"22",401,22,"Taran Alvelo",797.3,"2016-2019"
"23",5668,23,"Carrie Eberle",795.5,"2017-2021"
"24",1059,24,"Kelly Barnhill",795.4,"2016-2019"
"25",10895,25,"Meghan King",783.3,"2016-2019"
"26",14696,26,"Sydney Nester",780.6,"2019-2023"
"27",17222,27,"Keely Rochard",777.7,"2018-2022"
"28",9196,28,"Brittany Hitchcock",776.5,"2015-2019"
"29",20950,29,"Courtney Vierstra",773.6,"2018-2022"
"30",5851,30,"Summer Ellyson",773.3,"2017-2021"
"31",14732,31,"Nicole Newman",772.5,"2015-2019"
"32",5263,32,"Hailey Dolcini",752.9,"2018-2022"
"33",11468,33,"Megan Landry",752.6,"2016-2019"
"34",8180,34,"Mary Haff",752.4,"2018-2022"
"35",1253,35,"Meghan Beaubien",751.5,"2018-2022"
"36",22100,36,"Jessica Wireman",750.3,"2015-2018"
"37",15261,37,"Alexis Osorio",747.3,"2015-2018"
"38",22356,38,"Brooke Yanez",742.8,"2018-2023"
"39",1591,39,"Alyssa Bilodeau",738.8,"2017-2021"
"40",10003,40,"Hannah James",738.6,"2019-2023"
"41",21800,41,"Kassidy Wilbur",732.7,"2019-2022"
"42",2336,42,"Devin Brown",731.6,"2015-2018"
"43",7175,43,"Sydney Gay",729.2,"2016-2019"
"44",7044,44,"Rachel Garcia",728.4,"2017-2021"
"45",20402,44,"Tara Trainer",728.4,"2016-2019"
"46",2532,46,"Mckenna Bull",727.4,"2015-2017"
"47",18428,47,"Ashley Sharp",726.5,"2015-2018"
"48",5458,48,"Ali Dubois",726.4,"2018-2023"
"49",5712,49,"Erin Edmoundson",724.8,"2018-2022"
"50",3932,50,"Zoe Conley",724.7,"2015-2019"
"51",15543,51,"Bailey Parshall",719.6,"2019-2023"
"52",16562,52,"Riley Randolph",707.4,"2016-2019"
"53",1215,53,"Alicia Bazonski",704.3,"2015-2018"
"54",5323,54,"Allison Doocy",702.6,"2017-2021"
"55",14275,55,"Abby Morrow",702.5,"2015-2018"
"56",16247,56,"Brianna Pratt",701.5,"2019-2023"
"57",500,57,"Susannah Anderson",700.8,"2019-2023"
"58",17837,58,"Kathryn Sandercock",700.7,"2019-2023"
"59",20892,59,"Ashley Ventura",697.1,"2016-2019"
"60",21390,60,"Emily Watson",692.6,"2015-2018"
"61",6159,61,"Megan Faraimo",688.5,"2019-2023"
"62",3584,62,"Samantha Clakley",686.4,"2016-2019"
"63",21027,62,"Marina Vitalich",686.4,"2016-2021"
"64",3003,64,"Kaylee Carlson",685.6,"2015-2018"
"65",20413,65,"Hope Trautwein",685,"2018-2022"
"66",15353,66,"Kailyn Packard",683.6,"2019-2023"
"67",14458,67,"Liz Murphy",682.5,"2017-2022"
"68",16996,68,"Amanda Riley",681.5,"2015-2018"
"69",19534,69,"Autumn Storms",680.7,"2017-2021"
