"","player_id","rank","player","k_7","seasons"
"1",4056,1,"Courtney Coppersmith",11.4251324025036,"2019-2023"
"2",1513,2,"Megan Betsa",11.380167858253,"2015-2017"
"3",1808,3,"Dawn Bodrug",11.0700236034618,"2020-2022"
"4",14732,4,"Nicole Newman",10.8647249190939,"2015-2019"
"5",19528,5,"Alex Storako",10.7181136120043,"2019-2023"
"6",1059,6,"Kelly Barnhill",10.5343223535328,"2016-2019"
"7",13013,7,"Kelly Maxwell",10.5256544502618,"2020-2023"
"8",7975,8,"Sara Groenewegen",10.5130111524164,"2015-2017"
"9",13420,9,"Chelsea Mcmanaway",10.2357563850688,"2017-2018"
"10",8666,10,"Cheridan Hawkins",10.1076753175041,"2015-2016"
"11",11034,11,"Tori Kniesche",10.0822437789962,"2021-2023"
"12",13696,12,"Kamryn Meyer",10.0091659028414,"2020-2023"
"13",5345,13,"Savannah jo Dorsey",9.99390739236393,"2015-2017"
"14",15261,14,"Alexis Osorio",9.95717917837548,"2015-2018"
"15",6159,15,"Megan Faraimo",9.95352214960058,"2019-2023"
"16",7697,16,"Payton Gottshall",9.93569636135508,"2020-2023"
"17",7702,17,"Delanie Gourley",9.8981324278438,"2015-2017"
"18",17222,18,"Keely Rochard",9.87398739873987,"2018-2022"
"19",11795,19,"Emma Lemley",9.84182776801406,"2022-2023"
"20",6627,20,"Montana Fouts",9.68916949975716,"2019-2023"
"21",15732,21,"Maddie Penta",9.43772672309553,"2021-2023"
"22",17713,22,"Shannon Saile",9.42924901185771,"2017-2021"
"23",9048,23,"Samantha Heyer",9.4112652136994,"2020-2023"
"24",7044,24,"Rachel Garcia",9.3218012081274,"2017-2021"
"25",15763,25,"Jenna Perez",9.29203539823009,"2021-2023"
"26",4102,26,"Georgina Corrick",9.23006322659596,"2018-2022"
"27",8393,27,"Kylee Hanson",9.21824629271438,"2015-2018"
"28",21390,28,"Emily Watson",9.12647993069593,"2015-2018"
"29",18000,29,"Andrea Scali",9.12528216704289,"2019-2022"
"30",21878,30,"Danielle Williams",9.10454813939752,"2019-2023"
"31",20950,31,"Courtney Vierstra",9.03955532574974,"2018-2022"
"32",10492,32,"Giselle Juarez",9.01601830663616,"2017-2021"
"33",6518,33,"Morgan Florey",8.99874843554443,"2016-2019"
"34",11370,34,"Olivia Lackie",8.92091788355775,"2021-2023"
"35",2336,35,"Devin Brown",8.91744122471296,"2015-2018"
"36",16064,36,"Gabbie Plain",8.9173583543847,"2018-2022"
"37",1573,37,"Christina Biggerstaff",8.88505280259951,"2015-2019"
"38",11928,38,"Danielle Liberatore",8.86075949367089,"2015-2017"
"39",3350,39,"Haley Chambers-book",8.8390092879257,"2015-2017"
"40",11422,40,"Kandra Lamb",8.78020713463751,"2019-2023"
"41",9711,41,"Alissa Humphrey",8.66177818515124,"2021-2023"
"42",2647,42,"Jessica Burroughs",8.65533230293663,"2015-2017"
"43",22356,43,"Brooke Yanez",8.64162627894454,"2018-2023"
"44",17382,44,"Alexa Romero",8.63736263736264,"2017-2021"
"45",5801,45,"Miranda Elish",8.61590038314176,"2017-2022"
"46",15201,46,"Emily Orosco",8.59050064184852,"2016-2019"
"47",3288,47,"Jada Cecil",8.44051446945338,"2022-2023"
"48",22431,48,"Kelly Young",8.43065693430657,"2015-2016"
"49",17614,49,"Randi Rupp",8.41147322279398,"2015-2018"
"50",22524,50,"Kara Zazzaro",8.40301260375038,"2019-2023"
"51",20413,51,"Hope Trautwein",8.38978102189781,"2018-2022"
"52",17414,52,"Rachel Rook",8.38315217391304,"2018-2022"
"53",7316,53,"Megan Giese",8.37215388641717,"2021-2023"
"54",7844,54,"Jenna Greene",8.36460032626427,"2020-2023"
"55",10272,55,"Leanna Johnson",8.32789834701451,"2019-2023"
"56",19339,56,"Heather Stearns",8.31296493092455,"2015-2016"
"57",3171,57,"Manda Cash",8.28538550057537,"2015-2018"
"58",9076,58,"Lauryn Hicks",8.23529411764706,"2020-2023"
"59",14667,59,"Kelly Nelson",8.23367427222659,"2019-2022"
"60",16435,60,"Morgan Rackel",8.20037105751392,"2018-2019"
"61",13473,61,"Taylor Mcquillin",8.19738167170191,"2016-2019"
"62",1253,62,"Meghan Beaubien",8.17831004657352,"2018-2022"
"63",17973,63,"Alayna Savaglio",8.16316316316316,"2020-2023"
"64",18135,64,"Meghan Schorman",8.16275167785235,"2019-2023"
"65",913,65,"Maggie Balint",8.13953488372093,"2017-2022"
"66",21800,66,"Kassidy Wilbur",8.10154224102634,"2019-2022"
"67",12259,67,"Shelby Lowe",8.10076335877863,"2021-2023"
"68",16944,68,"Karli Ricketts",8.08942096261911,"2019-2022"
"69",7118,69,"Megan Garst",8.08791208791209,"2019-2021"
"70",20596,70,"Shelby Turnier",8.08591141776096,"2015-2016"
"71",13923,71,"Courtney Mirabella",8.04919908466819,"2015-2018"
"72",11689,72,"Jessica Lebeau",8.03307008884502,"2021-2023"
"73",7758,73,"Alyssa Graves",7.97794117647059,"2018-2022"
"74",19468,74,"Danielle Stiene",7.96264855687606,"2016-2018"
"75",18369,75,"Jacquelyn Sertic",7.9622458857696,"2015-2018"
"76",2520,76,"Elle Buffenbarger",7.95134046180071,"2018-2022"
"77",15154,77,"Marybeth Olson",7.93587174348697,"2018-2022"
"78",3247,78,"Jocelyn Cater",7.93275217932752,"2015-2016"
"79",4796,79,"Morgan Day",7.91974822974036,"2018-2022"
"80",277,80,"Odicci Alexander",7.91584483892176,"2017-2021"
"81",21884,81,"Emily Williams",7.89049919484702,"2018-2021"
"82",13786,82,"Ashley Miller",7.88827353720202,"2021-2023"
"83",11219,83,"Laurin Krings",7.86659745652738,"2021-2023"
"84",401,84,"Taran Alvelo",7.8577699736611,"2016-2019"
"85",14653,85,"Blake Neleman",7.84556141062019,"2020-2023"
"86",15509,86,"Paige Parker",7.82086795937211,"2015-2018"
"87",16169,87,"Kate Poppe",7.81952965235174,"2015-2016"
"88",6211,88,"Lilly Fecho",7.81664132087769,"2015-2016"
"89",3001,89,"Jamie Carlson",7.79582366589327,"2015-2017"
"90",3255,90,"Taylor Caudill",7.7848872638635,"2021-2023"
"91",5851,91,"Summer Ellyson",7.76671408250356,"2017-2021"
"92",13408,92,"Lindsey Mcleod",7.75840597758406,"2016-2019"
"93",9430,93,"Carley Hoover",7.74691358024691,"2015-2018"
"94",13702,94,"Cielo Meza",7.72423025435073,"2016-2021"
"95",6394,95,"Amber Fiser",7.72259666548421,"2017-2021"
"96",20615,96,"Maggie Tyler",7.69804287045666,"2015-2016"
"97",20920,97,"Izzy Vetter",7.66586730615508,"2019-2022"
"98",15812,98,"Brooke Perry",7.66502718094745,"2017-2021"
"99",2761,99,"Valerie Cagle",7.6555826723612,"2020-2023"
"100",11018,100,"Rachel Knapp",7.63782103713398,"2015-2017"
