"","player_id","rank","player","k_bb","seasons"
"1",6159,1,"Megan Faraimo",6.65986394557823,"2019-2023"
"2",14720,2,"Mckenzie Newcomb",5.98275862068965,"2022-2023"
"3",16435,3,"Morgan Rackel",5.66666666666667,"2018-2019"
"4",15053,4,"Aleshia Ocasio",5.43564356435644,"2015-2018"
"5",12259,5,"Shelby Lowe",5.26388888888889,"2021-2023"
"6",20853,6,"Jenna Veber",4.87037037037037,"2020-2023"
"7",8393,7,"Kylee Hanson",4.86309523809524,"2015-2018"
"8",6627,8,"Montana Fouts",4.76987447698745,"2019-2023"
"9",10986,9,"Megan Kleist",4.73913043478261,"2016-2020"
"10",11795,10,"Emma Lemley",4.70588235294118,"2022-2023"
"11",9875,11,"Emily Ira",4.68243243243243,"2016-2019"
"12",7975,12,"Sara Groenewegen",4.67592592592593,"2015-2017"
"13",7196,13,"Raeanne Geffert",4.49586776859504,"2017-2020"
"14",10492,14,"Giselle Juarez",4.45197740112994,"2017-2021"
"15",5851,15,"Summer Ellyson",4.44559585492228,"2017-2021"
"16",4102,16,"Georgina Corrick",4.44329896907217,"2018-2022"
"17",10003,17,"Hannah James",4.44252873563218,"2019-2023"
"18",4056,18,"Courtney Coppersmith",4.42173913043478,"2019-2023"
"19",16064,19,"Gabbie Plain",4.32244897959184,"2018-2022"
"20",1808,20,"Dawn Bodrug",4.27659574468085,"2020-2022"
"21",15543,21,"Bailey Parshall",4.27472527472527,"2019-2023"
"22",5801,22,"Miranda Elish",4.25966850828729,"2017-2022"
"23",17614,23,"Randi Rupp",4.18936877076412,"2015-2018"
"24",19436,24,"Alex Stewart",4.07766990291262,"2015-2017"
"25",2761,25,"Valerie Cagle",4.07386363636364,"2020-2023"
"26",19528,26,"Alex Storako",3.98406374501992,"2019-2023"
"27",7697,27,"Payton Gottshall",3.96929824561404,"2020-2023"
"28",15154,28,"Marybeth Olson",3.96,"2018-2022"
"29",15509,29,"Paige Parker",3.9349593495935,"2015-2018"
"30",7611,30,"Megan Good",3.91266375545852,"2015-2019"
"31",14732,31,"Nicole Newman",3.90553745928339,"2015-2019"
"32",17222,32,"Keely Rochard",3.90391459074733,"2018-2022"
"33",7702,33,"Delanie Gourley",3.88666666666667,"2015-2017"
"34",21390,34,"Emily Watson",3.8755364806867,"2015-2018"
"35",1059,35,"Kelly Barnhill",3.81210191082803,"2016-2019"
"36",19674,36,"Emma Summers",3.76712328767123,"2021-2023"
"37",2877,37,"Sydney Campbell",3.76415094339623,"2020-2023"
"38",2647,38,"Jessica Burroughs",3.75,"2015-2017"
"39",7044,39,"Rachel Garcia",3.74517374517375,"2017-2021"
"40",21027,40,"Marina Vitalich",3.73157894736842,"2016-2021"
"41",16562,41,"Riley Randolph",3.71676300578035,"2016-2019"
"42",15669,42,"Autumn Pease",3.68556701030928,"2019-2023"
"43",3350,43,"Haley Chambers-book",3.66025641025641,"2015-2017"
"44",15033,44,"Danielle O'toole",3.63302752293578,"2016-2017"
"45",9732,45,"Anaya Hunte",3.61176470588235,"2021-2023"
"46",15732,46,"Maddie Penta",3.55851063829787,"2021-2023"
"47",7316,47,"Megan Giese",3.54263565891473,"2021-2023"
"48",18321,48,"Erin Seiler",3.5364238410596,"2015-2016"
"49",8180,49,"Mary Haff",3.5301724137931,"2018-2022"
"50",17837,50,"Kathryn Sandercock",3.51851851851852,"2019-2023"
"51",277,51,"Odicci Alexander",3.49238578680203,"2017-2021"
"52",9972,52,"Molly Jacobsen",3.48837209302326,"2019-2021"
"53",3288,53,"Jada Cecil",3.40909090909091,"2022-2023"
"54",8666,54,"Cheridan Hawkins",3.3961038961039,"2015-2016"
"55",21842,55,"Chelsea Wilkinson",3.3943661971831,"2015-2016"
"56",13013,56,"Kelly Maxwell",3.37089201877934,"2020-2023"
"57",9196,57,"Brittany Hitchcock",3.33552631578947,"2015-2019"
"58",5345,58,"Savannah jo Dorsey",3.33175355450237,"2015-2017"
"59",1253,59,"Meghan Beaubien",3.32575757575758,"2018-2022"
"60",10732,60,"Annie Kennedy",3.30357142857143,"2015-2018"
"61",2993,61,"Abby Carlin",3.28571428571429,"2018-2022"
"62",7118,61,"Megan Garst",3.28571428571429,"2019-2021"
"63",14667,61,"Kelly Nelson",3.28571428571429,"2019-2022"
"64",17248,64,"Gia Rodoni",3.28095238095238,"2016-2021"
"65",19339,65,"Heather Stearns",3.26277372262774,"2015-2016"
"66",18901,66,"Isabella Smith",3.25833333333333,"2022-2023"
"67",913,67,"Maggie Balint",3.24200913242009,"2017-2022"
"68",18249,68,"Morgan Scott",3.22429906542056,"2020-2023"
"69",16944,69,"Karli Ricketts",3.21768707482993,"2019-2022"
"70",1260,70,"Kayla Beaver",3.19254658385093,"2020-2023"
"71",7348,71,"Rachel Gillen",3.18897637795276,"2015-2016"
"72",11219,72,"Laurin Krings",3.16058394160584,"2021-2023"
"73",18444,73,"Lauren Shaw",3.16049382716049,"2018-2023"
"74",728,74,"Madie Aughinbaugh",3.14093959731544,"2017-2021"
"75",11370,75,"Olivia Lackie",3.12558139534884,"2021-2023"
"76",13473,76,"Taylor Mcquillin",3.11877394636015,"2016-2019"
"77",15737,77,"Peyton Pepkowski",3.11711711711712,"2022-2023"
"78",20615,78,"Maggie Tyler",3.10526315789474,"2015-2016"
"79",10506,79,"Annah Junge",3.1015625,"2020-2023"
"80",10462,80,"Mandy Jordan",3.09137055837563,"2016-2019"
"81",1790,81,"Allison Boaz",3.0873786407767,"2020-2023"
"82",21878,82,"Danielle Williams",3.08403361344538,"2019-2023"
"83",22356,83,"Brooke Yanez",3.07718120805369,"2018-2023"
"84",11422,84,"Kandra Lamb",3.07042253521127,"2019-2023"
"85",11498,85,"Sierra Lange",3.06666666666667,"2018-2022"
"86",19418,86,"Kirsten Stevens",3.04032258064516,"2015-2017"
"87",1479,87,"Lindsey Bert",3.03986710963455,"2015-2018"
"88",17414,88,"Rachel Rook",3.03940886699507,"2018-2022"
"89",13786,89,"Ashley Miller",3.03896103896104,"2021-2023"
"90",18369,90,"Jacquelyn Sertic",3.03225806451613,"2015-2018"
"91",14884,91,"Gabriella Nori",3.02721088435374,"2019-2023"
"92",5175,92,"Julia Dimartino",3.02390438247012,"2016-2019"
"93",13383,93,"Holly Mckinnon",3.02255639097744,"2016-2017"
"94",5323,94,"Allison Doocy",3.00413223140496,"2017-2021"
"95",20413,95,"Hope Trautwein",2.9963503649635,"2018-2022"
"96",6518,96,"Morgan Florey",2.99583333333333,"2016-2019"
"97",10837,97,"Lexi Kilfoyl",2.99236641221374,"2020-2023"
"98",3171,98,"Manda Cash",2.97520661157025,"2015-2018"
"99",19468,99,"Danielle Stiene",2.97044334975369,"2016-2018"
"100",401,100,"Taran Alvelo",2.9635761589404,"2016-2019"
