"","player_id","rank","player","rc","seasons"
"1",360,1,"Jocelyn Alo",421.44,"2018-2022"
"2",15953,2,"Erika Piancastelli",307.27,"2015-2018"
"3",21318,3,"Jessie Warren",290.89,"2015-2018"
"4",21933,4,"Sami Williams",289.51,"2017-2021"
"5",5411,5,"Ivie Drake",288.08,"2015-2018"
"6",12207,6,"Amanda Lorenz",279.72,"2016-2019"
"7",17618,7,"Linda Rush",278.22,"2017-2021"
"8",13379,8,"Sydney Mckinney",273.48,"2019-2023"
"9",11977,9,"Kendyl Lindaman",270.02,"2017-2021"
"10",3916,10,"Jenna Cone",266.29,"2017-2021"
"11",10998,11,"Baylee Klingler",264.75,"2019-2023"
"12",4663,12,"Mia Davidson",264.05,"2018-2022"
"13",16595,13,"Paige Rauch",260.02,"2018-2022"
"14",7659,14,"Kate Gordon",260.01,"2017-2021"
"15",5117,15,"Alyssa Dicarlo",255.89,"2016-2019"
"16",1620,16,"Amber Bishop",251.05,"2017-2021"
"17",11172,17,"Kayla Kowalik",250.82,"2019-2023"
"18",10121,18,"Tiare Jennings",250.37,"2021-2023"
"19",7869,19,"Meghan Gregg",249.22,"2015-2018"
"20",8847,20,"Bailey Hemphill",245.34,"2017-2021"
"21",20786,21,"Bailey Vannoy",240.74,"2019-2023"
"22",8459,22,"Jessie Harper",240.62,"2017-2021"
"23",11717,23,"Haley Lee",237.52,"2019-2023"
"24",15417,24,"Alyssa Palomino",234,"2017-2021"
"25",17396,25,"Sydney Romero",233.99,"2016-2019"
"26",18511,26,"Sydney Sherrill",233.13,"2018-2022"
"27",7561,27,"Alyssa Gonzalez",231.31,"2017-2023"
"28",20942,28,"Tori Vidales",230.74,"2015-2018"
"29",491,29,"Rachel Anderson",230.37,"2017-2021"
"30",15753,30,"Briana Perez",229.77,"2018-2022"
"31",5176,31,"Kristi Dimeo",229.55,"2018-2022"
"32",9484,32,"Kelsey Horton",228.67,"2016-2019"
"33",2551,33,"Sammey Bunch",227.54,"2017-2021"
"34",8469,34,"Aly Harrell",225.66,"2018-2022"
"35",7288,35,"Danielle Gibson",223.17,"2018-2022"
"36",10136,36,"Rylee Jensen",223.09,"2017-2021"
"37",13147,37,"Rachel Mccollum",221.54,"2016-2021"
"38",10071,38,"Janae Jefferson",221.46,"2018-2022"
"39",4982,39,"Natalie Denhartog",220.69,"2019-2023"
"40",12077,40,"Emily Lochten",220.23,"2015-2018"
"41",5678,41,"Charla Echols",219.82,"2019-2023"
"42",2760,42,"Valerie Cagle",219.5,"2020-2023"
