"","player_id","rank","player","slg","seasons"
"1",5807,1,"Lexie Elkins","1.122","2015-2016"
"2",360,2,"Jocelyn Alo","0.996","2018-2022"
"3",17396,3,"Sierra Romero","0.902","2015-2016"
"4",10122,4,"Tiare Jennings","0.896","2021-2023"
"5",19026,5,"Elizabeth Snow","0.870","2015-2017"
"6",15954,6,"Erika Piancastelli","0.868","2015-2018"
"7",19148,7,"Karli Spaid","0.858","2021-2023"
"8",7660,8,"Kate Gordon","0.853","2017-2021"
"9",17619,9,"Linda Rush","0.851","2017-2021"
"10",1025,10,"Addison Barnard","0.849","2021-2023"
"11",13452,11,"Erica Mcnew","0.848","2015-2016"
"12",13247,12,"Katie Mceachern","0.837","2015-2016"
"13",21319,13,"Jessie Warren","0.827","2015-2018"
"14",14850,14,"Morgan Noad","0.822","2015-2016"
"15",3754,15,"Erin Coffel","0.805","2021-2023"
"16",4226,16,"Jena Cozza","0.801","2015-2018"
"17",18073,17,"Amber Schisler","0.799","2015-2017"
"18",5246,18,"Mya Dodge","0.798","2022-2023"
"19",12996,19,"Katiyana Mauga","0.791","2015-2017"
"20",7957,20,"Maddy Grimm","0.790","2015-2017"
"21",3917,21,"Jenna Cone","0.785","2017-2021"
"22",17846,22,"Cydney Sanders","0.785","2022-2023"
"23",22521,23,"Violet Zavodnik","0.783","2021-2023"
"24",7703,24,"Shaylon Govan","0.781","2020-2023"
"25",8828,25,"Rachel Heinze","0.780","2015-2017"
"26",20028,26,"Stephanie Texeira","0.778","2015-2017"
"27",5412,27,"Ivie Drake","0.777","2015-2018"
"28",2011,28,"Elena Bowman","0.776","2015-2016"
"29",4664,29,"Mia Davidson","0.769","2018-2022"
"30",19391,30,"Lindsey Stephens","0.765","2015-2016"
"31",13915,31,"Yvon Minogue","0.765","2015-2016"
"32",2761,32,"Valerie Cagle","0.764","2020-2023"
"33",145,33,"Ali Aguilar","0.761","2015-2017"
"34",9485,34,"Kelsey Horton","0.754","2016-2019"
"35",16029,35,"Lilli Piper","0.754","2016-2019"
"36",9647,36,"Jessie Hufstetler","0.754","2015-2016"
"37",19168,37,"Delaney Spaulding","0.754","2015-2017"
"38",3172,38,"Courtney Cashman","0.752","2017-2021"
"39",15309,39,"Autumn Owen","0.752","2019-2023"
"40",8470,40,"Aly Harrell","0.752","2018-2022"
"41",5118,41,"Alyssa Dicarlo","0.747","2016-2019"
"42",19706,42,"Kiara Suttles","0.747","2015-2018"
"43",20787,43,"Bailey Vannoy","0.747","2019-2023"
"44",8460,44,"Jessie Harper","0.746","2017-2021"
"45",18526,45,"Hannah Shifflett","0.745","2019-2023"
"46",11471,46,"Shellie Landry","0.743","2015-2016"
"47",2088,47,"Maya Brady","0.741","2020-2023"
"48",6355,48,"Andrea Filler","0.741","2015-2016"
"49",2365,49,"Kristen Brown","0.739","2015-2023"
"50",3023,49,"Emily Carosone","0.739","2015-2016"
"51",5177,51,"Kristi Dimeo","0.739","2018-2022"
"52",9685,52,"Alex Hugo","0.739","2015-2016"
"53",4035,53,"Kasey Cooper","0.738","2015-2017"
"54",4987,54,"Dayna Denner","0.737","2020-2022"
"55",1330,55,"Bianka Bell","0.734","2015-2016"
"56",15750,56,"Jenavee Peres","0.733","2015-2021"
"57",16596,57,"Paige Rauch","0.732","2018-2022"
"58",3816,58,"Jayda Coleman","0.731","2021-2023"
"59",11120,59,"Kayla Konwent","0.729","2017-2023"
"60",7146,60,"Karina Gaskins","0.729","2021-2023"
"61",2552,61,"Sammey Bunch","0.728","2017-2021"
"62",2297,62,"Suzy Brookshire","0.727","2017-2021"
"63",20097,63,"Lindsay Thomas","0.727","2015-2016"
"64",17952,64,"Mysha Sataraka","0.726","2015-2016"
