"","player_id","rank","player","so","seasons"
"1",4102,1,"Georgina Corrick",1293,"2018-2022"
"2",17614,2,"Randi Rupp",1261,"2015-2018"
"3",14732,3,"Nicole Newman",1199,"2015-2019"
"4",1059,4,"Kelly Barnhill",1197,"2016-2019"
"5",6627,5,"Montana Fouts",1140,"2019-2023"
"6",21878,6,"Danielle Williams",1101,"2019-2023"
"7",17222,7,"Keely Rochard",1097,"2018-2022"
"8",15261,8,"Alexis Osorio",1063,"2015-2018"
"9",16064,9,"Gabbie Plain",1059,"2018-2022"
"10",10272,10,"Leanna Johnson",1058,"2019-2023"
"11",1513,11,"Megan Betsa",1046,"2015-2017"
"12",4056,12,"Courtney Coppersmith",1017,"2019-2023"
"13",7975,13,"Sara Groenewegen",1010,"2015-2017"
"14",19528,14,"Alex Storako",1000,"2019-2023"
"15",20950,15,"Courtney Vierstra",999,"2018-2022"
"16",6159,16,"Megan Faraimo",979,"2019-2023"
"17",7044,17,"Rachel Garcia",970,"2017-2021"
"18",15509,18,"Paige Parker",968,"2015-2018"
"19",18369,19,"Jacquelyn Sertic",940,"2015-2018"
"20",6394,20,"Amber Fiser",933,"2017-2021"
"21",2336,21,"Devin Brown",932,"2015-2018"
"22",22356,22,"Brooke Yanez",917,"2018-2023"
"23",1479,23,"Lindsey Bert",915,"2015-2018"
"24",7697,24,"Payton Gottshall",905,"2020-2023"
"25",17326,25,"Ashley Rogers",903,"2015-2023"
"26",21390,25,"Emily Watson",903,"2015-2018"
"27",7611,27,"Megan Good",896,"2015-2019"
"28",401,28,"Taran Alvelo",895,"2016-2019"
"29",1253,29,"Meghan Beaubien",878,"2018-2022"
"30",5216,30,"Jordan Dixon",867,"2015-2017"
"31",13059,31,"Mariah Mazon",862,"2018-2022"
"32",5851,32,"Summer Ellyson",858,"2017-2021"
"33",12192,33,"Mariah Lopez",855,"2017-2023"
"34",17713,34,"Shannon Saile",852,"2017-2021"
"35",14696,35,"Sydney Nester",851,"2019-2023"
"36",21800,36,"Kassidy Wilbur",848,"2019-2022"
"37",20413,37,"Hope Trautwein",821,"2018-2022"
"38",8180,38,"Mary Haff",819,"2018-2022"
"39",8393,39,"Kylee Hanson",817,"2015-2018"
"40",13473,40,"Taylor Mcquillin",814,"2016-2019"
"41",5263,41,"Hailey Dolcini",804,"2018-2022"
"42",20402,42,"Tara Trainer",793,"2016-2019"
"43",10492,43,"Giselle Juarez",788,"2017-2021"
"44",17382,44,"Alexa Romero",786,"2017-2021"
"45",11498,45,"Sierra Lange",782,"2018-2022"
"46",22524,46,"Kara Zazzaro",781,"2019-2023"
"47",13696,47,"Kamryn Meyer",780,"2020-2023"
"48",15543,48,"Bailey Parshall",778,"2019-2023"
"49",10003,49,"Hannah James",773,"2019-2023"
"50",5801,50,"Miranda Elish",771,"2017-2022"
"51",2532,51,"Mckenna Bull",760,"2015-2017"
"52",5175,52,"Julia Dimartino",759,"2016-2019"
