"","player_id","rank","player","whip","seasons"
"1",6159,1,"Megan Faraimo","0.789","2019-2023"
"2",7611,2,"Megan Good","0.830","2015-2019"
"3",8393,3,"Kylee Hanson","0.832","2015-2018"
"4",1059,4,"Kelly Barnhill","0.850","2016-2019"
"5",4056,5,"Courtney Coppersmith","0.855","2019-2023"
"6",4102,6,"Georgina Corrick","0.859","2018-2022"
"7",7702,7,"Delanie Gourley","0.880","2015-2017"
"8",15053,8,"Aleshia Ocasio","0.887","2015-2018"
"9",10492,9,"Giselle Juarez","0.890","2017-2021"
"10",5851,10,"Summer Ellyson","0.900","2017-2021"
"11",15509,11,"Paige Parker","0.905","2015-2018"
"12",17837,12,"Kathryn Sandercock","0.916","2019-2023"
"13",1808,13,"Dawn Bodrug","0.920","2020-2022"
"14",2647,14,"Jessica Burroughs","0.922","2015-2017"
"15",7975,15,"Sara Groenewegen","0.931","2015-2017"
"16",16064,16,"Gabbie Plain","0.943","2018-2022"
"17",5801,17,"Miranda Elish","0.944","2017-2022"
"18",6627,18,"Montana Fouts","0.947","2019-2023"
"19",19528,19,"Alex Storako","0.949","2019-2023"
"20",8666,20,"Cheridan Hawkins","0.953","2015-2016"
"21",17222,21,"Keely Rochard","0.957","2018-2022"
"22",5345,22,"Savannah jo Dorsey","0.957","2015-2017"
"23",7044,23,"Rachel Garcia","0.960","2017-2021"
"24",10986,24,"Megan Kleist","0.964","2016-2020"
"25",11422,25,"Kandra Lamb","0.965","2019-2023"
"26",7118,26,"Megan Garst","0.972","2019-2021"
"27",7697,27,"Payton Gottshall","0.978","2020-2023"
"28",10003,28,"Hannah James","0.983","2019-2023"
"29",1253,29,"Meghan Beaubien","0.995","2018-2022"
"30",13013,30,"Kelly Maxwell","0.996","2020-2023"
"31",8180,31,"Mary Haff","0.997","2018-2022"
"32",14732,32,"Nicole Newman","0.998","2015-2019"
"33",13383,33,"Holly Mckinnon","1.000","2016-2017"
"34",16435,34,"Morgan Rackel","1.001","2018-2019"
"35",12259,35,"Shelby Lowe","1.004","2021-2023"
"36",3350,36,"Haley Chambers-book","1.004","2015-2017"
"37",15732,37,"Maddie Penta","1.006","2021-2023"
"38",15033,38,"Danielle O'toole","1.007","2016-2017"
"39",2761,39,"Valerie Cagle","1.011","2020-2023"
