"","player_id","rank","player","xbh","seasons"
"1",360,1,"Jocelyn Alo",170,"2018-2022"
"2",21934,2,"Sami Williams",154,"2017-2021"
"3",8460,3,"Jessie Harper",146,"2017-2021"
"4",21319,4,"Jessie Warren",142,"2015-2018"
"5",15954,5,"Erika Piancastelli",141,"2015-2018"
"6",4664,6,"Mia Davidson",140,"2018-2022"
"7",1621,7,"Amber Bishop",133,"2017-2021"
"8",7660,7,"Kate Gordon",133,"2017-2021"
"9",17619,9,"Linda Rush",131,"2017-2021"
"10",20787,9,"Bailey Vannoy",131,"2019-2023"
"11",3917,11,"Jenna Cone",130,"2017-2021"
"12",5118,12,"Alyssa Dicarlo",128,"2016-2019"
"13",15418,12,"Alyssa Palomino",128,"2017-2021"
"14",4983,14,"Natalie Denhartog",127,"2019-2023"
"15",18512,15,"Sydney Sherrill",126,"2018-2022"
"16",10999,16,"Baylee Klingler",124,"2019-2023"
"17",16596,16,"Paige Rauch",124,"2018-2022"
"18",5412,18,"Ivie Drake",123,"2015-2018"
"19",7870,18,"Meghan Gregg",123,"2015-2018"
"20",7562,20,"Alyssa Gonzalez",121,"2017-2023"
"21",7289,21,"Danielle Gibson",120,"2018-2022"
"22",10122,21,"Tiare Jennings",120,"2021-2023"
"23",10666,23,"Katie Keller",119,"2019-2023"
"24",17397,23,"Sydney Romero",119,"2016-2019"
"25",6546,25,"Lea Foerster",118,"2015-2018"
"26",11910,25,"Rachel Lewis",118,"2018-2022"
"27",13148,25,"Rachel Mccollum",118,"2016-2021"
"28",2552,28,"Sammey Bunch",117,"2017-2021"
"29",2297,29,"Suzy Brookshire",116,"2017-2021"
"30",9485,29,"Kelsey Horton",116,"2016-2019"
"31",11978,29,"Kendyl Lindaman",116,"2017-2021"
"32",15804,29,"Madison Perrigan",116,"2017-2021"
"33",5177,33,"Kristi Dimeo",115,"2018-2022"
"34",14680,33,"Morgan Nelson",115,"2016-2023"
"35",6210,35,"Alysen Febrey",114,"2017-2021"
"36",6511,35,"Morganne Flores",114,"2016-2021"
"37",9489,35,"Savannah Horvath",114,"2015-2018"
"38",12208,38,"Amanda Lorenz",112,"2016-2019"
"39",15754,38,"Briana Perez",112,"2018-2022"
"40",19429,40,"Mya Stevenson",111,"2019-2023"
"41",21494,40,"Kayla Wedl",111,"2017-2021"
"42",5679,42,"Charla Echols",110,"2019-2023"
"43",1816,43,"Mackenzie Boesel",108,"2017-2021"
"44",11718,43,"Haley Lee",108,"2019-2023"
"45",1623,45,"Autumn Bishop",107,"2017-2021"
"46",10137,45,"Rylee Jensen",107,"2017-2021"
"47",10451,45,"Aaliyah Jordan",107,"2018-2023"
"48",12078,45,"Emily Lochten",107,"2015-2018"
