"","first","last","team"
"1","Jessica","A'i","Utah Tech"
"2","Amanda","Aardema","North Florida"
"3","Amee","Aarhus","Oregon St."
"4","Amee","Aarhus","Utah St."
"5","Brittany","Abacherli","San Jose St."
"6","Cecilia","Abad","Texas Southern"
"7","Caela","Abadie","Saint Joseph's"
"8","Ariana","Abalos","Portland St."
"9","Alison","Abbatiello","Providence"
"10","Andrea","Abbatiello","Furman"
"11","Micaela","Abbatine","North Carolina"
"12","Micaela","Abbatine","Maryland"
"13","Micaela","Abbatine","Providence"
"14","Grace","Abbonizio","Drexel"
"15","Jenna","Abbott","Auburn"
"16","Jocelyn","Abbott","Saint Louis"
"17","Payton","Abbott","Western Ill."
"18","Sierra","Abbott","Jackson St."
"19","Alexis","Abboud","Syracuse"
"20","Molli","Abbruzzese","Toledo"
"21","Sydney","Abel","Evansville"
"22","Jordan","Abell","Lipscomb"
"23","Stephanie","Abello","Illinois"
"24","Havalynn","Abernathy","Georgia St."
"25","Renee","Abernathy","Kentucky"
"26","Kellie","Abeska","Kent St."
"27","Mckenzie","Abiley","UMES"
"28","Amanda","Ablan","Georgia"
"29","Brooklyn","Aboulhosn","Hartford"
"30","Sydney","Abounassar","Montevallo"
"31","Melissa","Abrahamian","Towson"
"32","Victoria","Abrams","LSU"
"33","Victoria","Abrams","ULM"
"34","Abigail","Abramson","Penn"
"35","Alyssa","Abron","Seton Hall"
"36","Giuliana","Abruscato","Binghamton"
"37","Giuliana","Abruscato","UConn"
"38","Taylor","Abshire","Centenary (LA)"
"39","Ariana","Acedo","CSU Bakersfield"
"40","Alex","Acevedo","Fla. Atlantic"
"41","Alex","Acevedo","Syracuse"
"42","Jasmine","Acevedo","UCF"
"43","Tristin","Achenbach","Montana"
"44","Alexa","Acker","Colgate"
"45","Brooke","Acker","Iona"
"46","Lauren","Ackerman","Hartford"
"47","Naiah","Ackerman","Stony Brook"
"48","Shaylee","Ackerman","Texas A&M"
"49","Autumn","Acord","Kent St."
"50","Autumn","Acord","Valparaiso"
"51","Erin","Acors","Central Ark."
"52","Elicia","Acosta","UC Santa Barbara"
"53","Jess","Acosta","Ole Miss"
"54","Jordan","Acosta","Colorado St."
"55","Kaylle","Acosta","Houston-Victoria"
"56","Sam","Acosta","Illinois"
"57","Heaven","Acquart","Grand Canyon"
"58","Emily","Acquaviva","UNC Greensboro"
"59","Kacy","Acree","Austin Peay"
"60","Kate","Acton","Grand Canyon"
"61","Alyssa","Acuna","Tex. A&M Int'l"
"62","Arriana","Acuna","Detroit Mercy"
"63","Gisele","Acuna","Central Mich."
"64","Yannira","Acuna","Arizona St."
"65","Yannixa","Acuna","Arizona St."
"66","Brittany","Adair","North Ala."
"67","Caroline","Adair","Abilene Christian"
"68","Lauren","Adam","Gardner-Webb"
"69","Hannah","Adamczyk","UNCW"
"70","Alyssa","Adames","Houston-Victoria"
"71","Kara","Adamns","Ohio-Chillicothe"
"72","Molly","Adamo","Stonehill"
"73","Abby","Adams","Samford"
"74","Alyssa","Adams","Saint Peter's"
"75","Ariana","Adams","Texas"
"76","Ariana","Adams","Syracuse"
"77","Ashlyn","Adams","Boise St."
"78","Calyn","Adams","Mississippi St."
"79","Carly","Adams","Longwood"
"80","Claire","Adams","UC San Diego"
"81","Elizabeth","Adams","Rutgers"
"82","Elyssa","Adams","Detroit Mercy"
"83","Emma","Adams","New Mexico St."
"84","Emma","Adams","UAlbany"
"85","Faith","Adams","ETSU"
"86","Grey","Adams","Samford"
"87","Haley","Adams","Ohio"
"88","Hallie","Adams","Georgia St."
"89","Hannah","Adams","Florida"
"90","Hillary","Adams","Sam Houston"
"91","Jacquelyn","Adams","UT Arlington"
"92","Jalen","Adams","Iowa"
"93","Janae","Adams","Alabama A&M"
"94","Janae","Adams","Clark Atlanta"
"95","Jessica","Adams","UT Arlington"
"96","Jordan","Adams","Utah Valley"
"97","Katie","Adams","Marshall"
"98","Kelsi","Adams","Memphis"
"99","Lacy","Adams","Winthrop"
"100","Maddy","Adams","Chattanooga"
"101","Maddy","Adams","Illinois"
"102","Mckenzie","Adams","Wichita St."
"103","Mea","Adams","Evansville"
"104","Morgan","Adams","Grambling"
