logo,team_name,record,rpi_rank,nfca_rank,offensive_rank,defensive_rank,overall_rank,team_id
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30028.gif,UT Tyler,14-2-0,6,1,2,11,1,30028
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30192.gif,Southern Wesleyan,8-3-0,28,NA,1,38,2,30192
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/767.gif,West Tex. A&M,15-2-0,3,5,11,9,3,767
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1085.gif,Francis Marion,16-1-0,11,8,13,5,4,1085
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/41.gif,Augustana (SD),7-1-0,2,NA,39,1,5,41
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30180.gif,Rogers St.,12-0-0,10,6,8,26,6,30180
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30093.gif,AUM,13-2-0,1,NA,20,8,7,30093
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/11403.gif,Colo. Christian,12-3-0,61,NA,90,2,8,11403
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/309.gif,UIndy,7-1-0,35,17,17,23,9,309
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/12830.gif,Tusculum,21-1-0,9,NA,9,49,10,12830
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1079.gif,Findlay,8-1-0,5,NA,7,68,11,1079
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/24639.gif,Nova Southeastern,14-5-0,15,25,60,6,12,24639
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1009.gif,Central Okla.,14-3-0,45,13,14,33,13,1009
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/25.gif,Angelo St.,14-3-0,4,4,99,3,14,25
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/598.gif,St. Cloud St.,15-4-0,41,NA,15,35,15,598
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30052.gif,North Georgia,13-3-0,33,10,5,98,16,30052
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/216.gif,Emory & Henry,16-4-0,32,NA,50,18,17,216
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/608.gif,Saint Leo,10-7-0,16,NA,29,32,18,608
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1000.gif,Carson-Newman,12-7-0,58,NA,10,91,19,1000
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1013.gif,Charleston (WV),6-2-0,120,NA,73,14,20,1013
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/358.gif,West Ala.,11-4-0,7,22,65,17,21,358
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/2720.gif,CSU Pueblo,7-5-0,63,NA,59,20,22,2720
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/383.gif,Minnesota St.,6-8-0,40,NA,138,4,23,383
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/591.gif,Saginaw Valley,6-3-0,73,NA,24,42,24,591
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30259.gif,USC Beaufort,12-7-0,133,NA,18,72,25,30259
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/49.gif,Barry,14-3-0,22,NA,23,47,26,49
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1097.gif,Ga. Southwestern,10-4-0,23,NA,37,34,27,1097
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/224.gif,Ferris St.,5-3-0,30,NA,25,57,28,224
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1448.gif,Western Wash.,11-1-0,29,9,70,24,29,1448
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30177.gif,Lubbock Christian,11-6-0,79,NA,31,48,30,30177
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/159.gif,Columbus St.,12-3-0,78,NA,117,10,31,159
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30199.gif,CUI,11-1-0,26,NA,33,54,32,30199
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30198.gif,Cal St. San Marcos,11-3-0,17,18,67,27,33,30198
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30119.gif,Ohio Dominican,3-3-0,14,NA,34,59,34,30119
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/74.gif,Bridgeport,3-3-0,137,NA,131,12,36,74
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1116.gif,Harding,12-3-0,34,16,45,53,37,1116
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/499.gif,Truman St.,11-8-0,68,NA,28,82,38,499
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1170.gif,Lenoir-Rhyne,12-6-0,76,NA,53,50,39,1170
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/689.gif,Tampa,15-1-0,13,3,122,21,40,689
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/429.gif,Mississippi Col.,13-5-0,84,NA,68,36,41,429
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/427.gif,Minn. Duluth,12-4-0,70,NA,32,79,42,427
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/11416.gif,Colorado Mesa,8-4-0,94,NA,92,30,43,11416
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/39.gif,Augusta,12-8-0,48,NA,72,43,44,39
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/790.gif,Winona St.,11-2-0,42,NA,81,37,45,790
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/8366.gif,Goldey-Beacom,8-1-0,12,NA,100,31,46,8366
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1376.gif,Southern Ark.,10-3-0,27,NA,181,7,47,1376
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/339.gif,Kutztown,6-0-0,18,21,22,95,48,339
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30092.gif,Flagler,12-4-0,59,NA,26,94,50,30092
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/799.gif,Wis.-Parkside,9-5-0,125,NA,88,41,51,799
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/11740.gif,West Florida,12-3-0,67,NA,61,61,52,11740
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30138.gif,McKendree,9-4-0,49,20,74,56,53,30138
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/98.gif,Cal St. East Bay,11-1-0,38,15,82,46,54,98
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/360.gif,Lock Haven,2-4-0,37,NA,170,13,55,360
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/628.gif,San Fran. St.,11-3-0,25,NA,71,62,56,628
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/354.gif,Lewis,10-10-0,114,NA,86,51,57,354
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1274.gif,Northwest Nazarene,6-5-0,102,NA,142,25,58,1274
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/9223.gif,North Greenville,12-6-0,50,NA,27,107,60,9223
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/241.gif,Franklin Pierce,4-3-0,143,NA,69,66,61,241
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/13.gif,Albany St. (GA),3-3-0,124,NA,30,104,62,13
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30002.gif,Trevecca Nazarene,10-4-0,19,12,76,63,63,30002
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1167.gif,Lander,11-6-0,69,NA,83,64,64,1167
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1433.gif,Wayne St. (NE),3-7-0,130,NA,63,76,65,1433
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/696.gif,Tex. A&M-Kingsville,12-6-0,122,NA,66,75,66,696
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/246.gif,Gannon,5-1-0,75,NA,6,194,67,246
