Rank,Team,Record,Team ID
1,Texas,46-6-0,703
2,Oklahoma,46-6-0,522
3,Duke,45-6-0,193
4,Tennessee,40-10-0,694
5,Stanford,42-12-0,674
6,LSU,36-14-0,365
7,Missouri,40-14-0,434
8,UCLA,35-10-0,110
9,Oklahoma St.,44-10-0,521
10,Georgia,38-15-0,257
11,Arkansas,35-15-0,31
12,Florida,41-12-0,235
13,Louisiana,41-16-0,671
14,Florida St.,40-13-0,234
15,Texas A&M,39-12-0,697
16,Alabama,32-14-0,8
17,Arizona,33-15-1,29
18,Washington,29-13-0,756
19,Virginia Tech,39-12-1,742
20,Baylor,32-19-0,51
21,Texas St.,41-13-0,670
22,Clemson,34-16-0,147
23,California,34-17-0,107
24,Auburn,27-15-1,37
25,Mississippi St.,32-16-0,430
26,Virginia,32-18-0,746
27,Northwestern,34-11-0,509
28,Charlotte,35-16-0,458
29,South Carolina,34-18-0,648
30,McNeese,34-18-0,402
31,Kentucky,29-20-0,334
32,Oregon,26-17-0,529
33,Boston U.,50-4-1,68
34,Michigan,39-14-0,418
35,South Alabama,31-17-1,646
36,Texas Tech,27-21-0,700
37,Penn St.,34-18-0,539
38,Miami (OH),46-7-0,414
39,Fla. Atlantic,41-12-0,229
40,UCF,30-23-0,128
41,Utah,33-19-0,732
42,Ole Miss,31-22-0,433
43,Liberty,31-23-0,355
44,Indiana,37-16-0,306
45,Nevada,38-15-0,466
46,San Diego St.,29-16-0,626
47,Troy,32-21-0,716
48,BYU,31-22-0,77
49,Nebraska,30-22-0,463
50,Kansas,26-25-1,328
51,NC State,29-23-0,490
52,North Carolina,26-20-0,457
53,Southern Ill.,40-9-0,659
54,Southeastern La.,38-12-0,655
55,Ohio St.,31-20-0,518
56,Louisville,27-25-0,367
57,Georgia Tech,32-22-0,255
58,South Dakota St.,31-20-0,649
59,Eastern Ky.,40-9-0,202
60,Notre Dame,27-23-0,513
61,Boise St.,34-22-0,66
62,James Madison,30-22-0,317
63,Wichita St.,27-21-0,782
64,UIW,25-16-0,2743
65,Grand Canyon,46-11-0,1104
66,Fresno St.,32-18-0,96
67,Boston College,30-24-0,67
68,FGCU,35-19-0,28755
69,Omaha,36-12-0,464
70,South Fla.,34-22-0,651
71,Saint Francis (PA),38-12-0,600
72,North Florida,34-17-0,2711
73,Tulsa,30-21-0,719
74,Oregon St.,21-28-0,528
75,Chattanooga,38-13-0,693
76,Louisiana Tech,31-21-0,366
77,North Texas,30-21-0,497
78,Houston,22-29-0,288
79,Coastal Carolina,34-21-0,149
80,UNI,32-16-0,504
81,Minnesota,28-25-0,428
82,Delaware,36-12-0,180
83,Syracuse,28-23-0,688
84,Cal St. Fullerton,34-15-0,97
85,East Carolina,34-19-0,196
86,Iowa St.,20-31-0,311
87,Colorado St.,26-21-0,156
88,Rutgers,33-22-0,587
89,Arizona St.,20-31-0,28
90,Western Ky.,32-19-1,772
91,Nicholls,25-25-0,483
92,Purdue,25-27-0,559
