Rank,Team,Record
1,Salisbury,49-6-0
2,CWRU,39-5-0
3,Concordia Wisconsin,40-5-0
4,Berry,43-6-0
5,Tufts,40-6-0
6,Linfield,46-6-0
7,Bethel (MN),36-5-0
8,East Tex. Baptist,39-7-0
9,Randolph-Macon,44-11-0
10,MIT,36-9-0
11,Coe,39-11-0
12,Wis.-Oshkosh,36-9-0
13,Va. Wesleyan,39-13-0
14,Central (IA),33-11-0
15,Birmingham-So.,31-9-0
16,Saint Benedict,26-8-0
17,MSOE,32-11-0
18,Mary Hardin-Baylor,35-14-0
19,Millikin,31-11-0
20,Coast Guard,31-11-0
21,Ramapo,33-14-1
22,Penn College,31-10-0
23,Wis.-Whitewater,28-13-0
24,Roanoke,29-14-0
25,Wis.-La Crosse,28-15-0
