"","game_id","team","opponent","player","ip","ha","er","bb","hb","so","bf","hr_a","go","fo","season"
"1","1940801","Alabama","South Alabama","Osorio, Alexis",1.2,"0",0,0,0,4,7,0,0,1,2015
"2","1940801","Alabama","South Alabama","Jury, Leslie",5.1,"4",1,3,0,5,24,0,7,3,2015
"3","1940801","South Alabama","Alabama","Beard, Farish",7,"3",1,2,6,6,31,0,6,8,2015
"4","1940832","Ole Miss","Oregon St.","Osias, Madi",6,"4",2,2,3,3,26,2,9,5,2015
"5","1940832","Oregon St.","Ole Miss","Miller, Beverly",7,"4",1,4,0,10,28,0,9,2,2015
"6","1940803","Creighton","Arizona St.","Eck, Sydnee",6,"10",7,6,0,0,34,1,6,12,2015
"7","1940803","Arizona St.","Creighton","Macha, Breanna",0.1,"0",0,0,0,0,1,0,1,0,2015
"8","1940803","Arizona St.","Creighton","Ryndak, Dale",6.2,"9",4,1,1,7,32,2,9,4,2015
"9","1940804","Hampton","South Fla.","Jackson, Jailynn",6,"13",6,1,0,3,33,2,8,6,2015
"10","1940804","South Fla.","Hampton","Greiner, Sam",4,"0",0,3,1,1,16,0,8,2,2015
"11","1940804","South Fla.","Hampton","Nunn, Erica",1,"0",0,0,0,0,3,0,1,2,2015
"12","1940804","South Fla.","Hampton","Claudio, Karla",2,"2",2,2,0,4,12,1,0,2,2015
"13","1940805","Idaho St.","UCLA","Slagle, Sophie",5,"10",7,7,1,2,33,2,4,8,2015
"14","1940805","UCLA","Idaho St.","Carda, Ally",2.1,"0",0,1,0,6,9,0,0,1,2015
"15","1940805","UCLA","Idaho St.","Ta'amilo, Selina",1.1,"2",0,1,0,1,7,0,1,2,2015
"16","1940805","UCLA","Idaho St.","Grauer, Johanna",2.1,"4",1,3,0,2,14,0,1,4,2015
"17","1940806","Mississippi Val.","Mississippi St.","Young, Haley",5.1,"9",6,5,2,2,32,2,6,7,2015
"18","1940806","Mississippi St.","Mississippi Val.","Silkwood, Alexis",6,"1",0,1,0,15,19,0,2,0,2015
"19","1940807","ULM","Louisiana Tech","Colliver, Jessica",1.2,"2",2,1,0,1,9,1,2,2,2015
"20","1940807","ULM","Louisiana Tech","Wilson, Haylie",0.2,"0",0,0,0,0,2,0,0,2,2015
"21","1940807","ULM","Louisiana Tech","Porter, Paige",4.2,"5",2,1,0,3,20,0,3,8,2015
"22","1940807","Louisiana Tech","ULM","Tufi, Pauline",2.1,"3",4,0,1,5,11,2,1,1,2015
