"","game_id","team","opponent","player_id","player","ip","ha","er","bb","hb","so","bf","hr_a","go","fo"
"1","1888965","UT Arlington","ULM",11540,"Samantha Clakley",15,9,1,2,1,6,53,0,24,10
"2","1888965","ULM","UT Arlington",13526,"Melanie Coyne",14.1,13,2,6,2,8,65,0,9,25
"3","1897903","Texas Tech","Texas",58180,"Kassidy Scott",13.1,10,4,6,0,4,58,0,30,6
"4","1898280","Monmouth","Fairfield",54167,"Amanda Riley",13,4,1,4,0,16,48,1,9,14
"5","1890543","Northwestern St.","Abilene Christian",5936,"Katelyn Boles",13,9,1,4,3,10,56,0,10,18
"6","1890683","Southern Miss.","Louisiana Tech",13989,"Kim Crowson",13,6,1,1,1,3,46,0,30,3
"7","1890103","Memphis","Saint Louis",47328,"Christian Novak",13.2,4,1,3,0,14,45,0,7,17
"8","1886755","Mississippi St.","Samford",59592,"Alexis Silkwood",12,8,2,3,0,7,46,1,18,10
"9","1901689","Kennesaw St.","Georgia Tech",14387,"Alley Cutting",12,6,1,5,0,12,47,1,9,15
"10","1893869","Seattle U","Grand Canyon",53601,"Alyssa Reuble",12,12,3,1,0,1,51,1,22,12
"11","1905010","Illinois","Marshall",70487,"Breanna Wonderly",12,8,2,1,0,8,46,0,15,10
"12","1894600","Cal St. Fullerton","UC Riverside",54364,"Cerissa Rivera",12,12,0,2,0,8,50,0,5,22
"13","1898280","Fairfield","Monmouth",48900,"Destinee Pallotto",12,7,0,5,0,9,47,0,5,21
"14","1901689","Georgia Tech","Kennesaw St.",1401,"Emily Anderson",12,9,1,0,1,8,45,0,18,9
"15","1900404","Houston Christian","A&M-Corpus Christi",45562,"Emily Mueller",12,10,1,1,1,1,46,0,21,10
"16","1902589","Tulsa","East Carolina",68150,"Emily Watson",12,2,1,5,1,14,42,1,6,14
"17","1892329","North Dakota St.","Georgia Tech",58604,"Jacquelyn Sertic",12,11,5,8,1,19,56,1,3,13
"18","1895151","Ole Miss","Central Ark.",37075,"Kaitlin Lee",12,6,0,1,1,5,45,0,15,15
"19","1886364","Loyola Chicago","Alabama St.",32641,"Kiley Jones",12,4,0,2,0,5,40,0,24,4
"20","1896492","Akron","Central Mich.",26573,"Lexie Handley",12,12,4,1,0,8,49,0,12,13
"21","1900404","A&M-Corpus Christi","Houston Christian",10102,"Liz Carter",12,9,2,2,0,11,48,0,6,18
"22","1902589","East Carolina","Tulsa",54300,"Lydia Ritchie",12,12,1,4,1,3,52,0,9,22
"23","1891519","UNCW","Campbell",32779,"Peyton Jordan",12,5,0,2,1,10,45,0,16,10
"24","1896492","Central Mich.","Akron",34736,"Rachel Knapp",12,7,0,3,0,15,45,0,7,13
"25","1905006","Texas St.","Texas",56067,"Randi Rupp",12,9,1,4,0,8,49,0,10,18
"26","1899868","Minnesota","Wisconsin",25425,"Sara Groenewegen",12,9,0,0,1,15,46,0,11,9
"27","1898308","Cal Poly","Long Beach St.",31051,"Sierra Hyland",12,11,2,3,0,5,51,0,12,19
"28","1894600","UC Riverside","Cal St. Fullerton",44211,"Tayler Misfeldt",12,8,1,3,1,5,47,0,14,15
"29","1898135","Northern Ky.","UIC",47153,"Charlie Nolen",12.2,10,1,1,0,0,46,0,11,23
"30","1905006","Texas","Texas St.",15137,"Tiarra Davis",12.2,7,2,7,0,7,47,1,8,18
"31","1905010","Marshall","Illinois",16753,"Jordan Dixon",11.1,11,2,2,2,4,49,1,9,19
"32","1895151","Central Ark.","Ole Miss",24113,"Kayla Gomness",11.1,15,1,0,1,1,48,0,18,13
