"","game_id","team","opponent","player_id","player","ip","ha","er","bb","hb","so","bf","hr_a","go","fo"
"1","4500605","Tex. A&M Int'l","St. Mary's (TX)",2025,"Carla Arellano",14,13,2,1,1,1,55,0,10,28
"2","4500605","St. Mary's (TX)","Tex. A&M Int'l",133,"Jadyn Abrego",12.1,13,3,1,1,4,53,0,14,18
"3","4504474","South Carolina","Clemson",72219,"Alana Vawter",12,7,3,3,0,2,47,1,23,10
"4","4498944","Tuskegee","Southern U.",28816,"Kamya Hampton",12,11,3,4,0,5,51,0,23,7
"5","4500640","Augusta","Ga. Southwestern",66508,"Madalyn Spinks",12,13,3,4,0,4,53,0,17,15
"6","4502421","Central Wash.","Saint Martin's",39854,"Ashlee Laver",11.1,12,4,6,3,6,54,2,6,21
"7","4493247","Portland St.","Oregon St.",23649,"Allicitie Frost",11,6,0,1,0,5,41,0,7,21
"8","4498378","Coppin St.","Hampton",10867,"Vanessa Carrizosa",11,8,1,2,1,1,43,0,10,21
"9","4493247","Oregon St.","Portland St.",24410,"Ellie Garcia",11.2,4,1,3,0,8,38,0,6,17
"10","4503007","Furman","Gardner-Webb",9608,"Emme Buzhardt",11.2,12,5,5,1,5,49,0,16,9
"11","4492922","Arizona","Indiana",64634,"Aissa Silva",10.1,7,2,1,2,1,40,1,8,19
"12","4501817","Mont. St. Billings","Western Ore.",34355,"Caitlyn James",10.1,14,3,1,0,4,44,1,11,14
"13","4499486","Ozarks (AR)","Grinnell",29864,"Morgan Haupt",10.1,5,0,2,1,12,39,0,6,13
"14","4500640","Ga. Southwestern","Augusta",7299,"Savana Bradford",10.1,10,2,2,1,15,44,2,8,8
"15","4497033","Boston College","FGCU",19347,"Abby Dunning",10,5,0,6,1,12,41,0,7,9
"16","5252359","Francis Marion","UNC Pembroke",55926,"Alyssa Poston",10,6,0,0,1,18,37,0,4,8
"17","4502039","Arkansas Tech","Ouachita Baptist",3909,"Bradi Basler",10,7,5,2,0,8,41,0,10,11
"18","4499051","Kansas City","Prairie View",67469,"Camryn Stickel",10,7,3,0,0,14,37,1,6,10
"19","4503752","Cedarville","Thomas More",5234,"Casey Bertke",10,8,1,0,1,11,40,0,16,1
