"","game_id","team","opponent","player_id","player","ip","ha","er","bb","hb","so","bf","hr_a","go","fo","game_order"
"1",6367786,"D'Youville","Queens (NY)",58334,"Alex Packard",0.1,3,3,1,1,0,6,0,NA,NA,1
"2",6367786,"Queens (NY)","D'Youville",83759,"Cheyanne Willoughby",0.1,0,0,0,1,1,2,0,NA,NA,2
"3",6367786,"D'Youville","Queens (NY)",44529,"Kendal Lehnen",2.2,6,5,1,1,1,14,1,NA,NA,3
"4",6367786,"Queens (NY)","D'Youville",80507,"Sam Voskinarian",7.2,17,8,1,1,2,42,0,NA,NA,4
"5",6367786,"D'Youville","Queens (NY)",13930,"Summer Clark",4,5,2,1,0,2,18,0,NA,NA,5
"6",6367785,"Ill. Springfield","Drury",4215,"Rosie Bartletti",4,5,2,1,0,3,18,0,NA,NA,6
"7",6367784,"Concord","West Va. Wesleyan",56112,"Mahailey Nicholson",5.1,7,3,0,1,4,24,0,NA,NA,7
"8",6367784,"West Va. Wesleyan","Concord",29968,"Morgan Greene",7,5,1,1,0,3,29,0,NA,NA,8
"9",6367784,"Concord","West Va. Wesleyan",34891,"Reghan Hintz",1.2,0,0,0,1,1,3,0,NA,NA,9
"10",6367780,"Simmons","Wentworth",37132,"Ally Hyde",2.1,4,2,3,0,1,16,0,NA,NA,10
"11",6367780,"Wentworth","Simmons",66775,"Jess Rowe",2,4,3,2,0,3,11,0,NA,NA,11
"12",6367780,"Wentworth","Simmons",69261,"Julie Schriver",5,5,2,3,0,2,22,0,NA,NA,12
"13",6367780,"Simmons","Wentworth",41125,"Piper Kinney",5.2,10,7,5,0,2,29,0,NA,NA,13
"14",6367777,"Mount Union","Carnegie Mellon",6201,"Chloe Bird",2,7,3,0,0,1,13,1,NA,NA,14
"15",6367777,"Mount Union","Carnegie Mellon",63777,"Emma Reemsnyder",2,1,3,2,0,1,10,1,NA,NA,15
"16",6367777,"Carnegie Mellon","Mount Union",78152,"Gabriella Triano",5.1,12,6,0,1,4,28,0,NA,NA,16
"17",6367777,"Carnegie Mellon","Mount Union",62358,"Haley Pucci",2.2,3,3,4,0,0,11,0,NA,NA,17
"18",6367774,"LeMoyne-Owen","Miles",3194,"Khaylani Bailey",6,9,4,1,1,2,31,0,NA,NA,18
"19",6367774,"Miles","LeMoyne-Owen",76587,"Shakayla Terry",7,7,1,3,1,5,33,0,NA,NA,19
"20",6367772,"Ouachita Baptist","Okla. Baptist",1435,"Catie Amador",6,6,5,1,0,7,26,3,NA,NA,20
"21",6367772,"Okla. Baptist","Ouachita Baptist",49418,"Morgan Max",7,9,4,3,1,3,35,0,NA,NA,21
"22",6367771,"Ouachita Baptist","Okla. Baptist",40795,"Callie Kilburn",2.2,0,3,4,0,1,8,0,NA,NA,22
"23",6367771,"Okla. Baptist","Ouachita Baptist",4097,"Jorja Barrett",5,4,0,1,0,3,20,0,NA,NA,23
"24",6367771,"Ouachita Baptist","Okla. Baptist",4340,"Kodee Batchelor",2.1,6,3,0,0,1,12,1,NA,NA,24
"25",6367770,"Wingate","King (TN)",76847,"Jillian Thomas",7,1,0,0,1,8,24,0,NA,NA,25
"26",6367770,"King (TN)","Wingate",35981,"Kylee Horsley",7,9,2,3,0,1,32,0,NA,NA,26
