"","team_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip"
"1",391,2022,"Courtney Coppersmith",116,41,28,2,219,7,"0.784",0.106,30.353,"0.184"
"2",391,2022,"Kya Matter",111,62,20,1,177,5,"1.009",0.152,21.559,"0.364"
"3",651,2022,"Georgina Corrick",270.666666666667,114,34,18,409,12,"0.517",0.122,52.421,"0.531"
"4",522,2022,"Jordyn Bahl",126.666666666667,62,29,9,189,3,"0.995",0.14,38.489,"0.624"
"5",454,2022,"Hannah James",194.333333333333,117,25,7,234,8,"1.153",0.168,32.602,"1.021"
"6",521,2022,"Kelly Maxwell",181.666666666667,93,65,15,300,9,"1.272",0.146,80.512,"1.062"
"7",8,2022,"Montana Fouts",190,135,53,5,275,10,"2.100",0.193,58.711,"1.105"
"8",683,2022,"Dawn Bodrug",171.666666666667,105,52,7,282,13,"1.998",0.172,59.612,"1.130"
"9",416,2022,"Ashley Miller",193.333333333333,152,56,11,244,4,"1.810",0.208,67.786,"1.184"
"10",522,2022,"Hope Trautwein",97.3333333333333,38,35,8,134,2,"0.503",0.117,43.39,"1.239"
"11",2711,2022,"Morgan Clausen",121.666666666667,100,27,4,116,0,"1.438",0.216,31.822,"1.258"
"12",626,2022,"Maggie Balint",185,130,39,15,266,13,"2.119",0.191,54.703,"1.314"
"13",742,2022,"Keely Rochard",201.333333333333,121,54,17,326,18,"1.634",0.169,71.601,"1.382"
"14",26172,2022,"Beatriz Lara",26,31,4,0,19,0,"3.769",0.304,5.192,"1.400"
"15",508,2022,"Maggie Darr",73,63,14,0,89,5,"1.630",0.227,14.863,"1.427"
"16",649,2022,"Tori Kniesche",158,82,82,11,255,7,"1.462",0.152,93.519,"1.514"
"17",742,2022,"Emma Lemley",136.666666666667,93,42,6,209,12,"1.998",0.183,48.68,"1.537"
"18",671,2022,"Kandra Lamb",105.333333333333,56,35,6,152,7,"1.994",0.154,41.532,"1.546"
"19",1320,2022,"Haley Haselden",45.3333333333333,52,13,4,51,1,"4.169",0.28,18.147,"1.562"
"20",108,2022,"Kenedi Brown",190,139,60,6,224,7,"1.768",0.195,66.732,"1.563"
"21",695,2022,"Emily Brown",18,19,5,0,15,0,"2.333",0.268,6.056,"1.567"
"22",51,2022,"Aliyah Binford",117,87,33,8,136,4,"2.513",0.196,41.744,"1.571"
"23",37,2022,"Maddie Penta",195,126,53,13,269,14,"1.687",0.179,66.646,"1.590"
"24",193,2022,"Jala Wright",107,78,38,6,115,1,"1.963",0.196,44.729,"1.606"
"25",554,2022,"Ali Blanchard",105,80,50,8,148,3,"2.533",0.208,58.762,"1.610"
"26",368,2022,"Ryley White",129.333333333333,103,35,15,138,2,"1.678",0.212,50.796,"1.627"
"27",87,2022,"Alyssa Graves",118.333333333333,81,48,7,141,2,"1.952",0.192,55.685,"1.631"
"28",77,2022,"Carley Brown",50.3333333333333,48,9,2,42,1,"2.503",0.24,11.954,"1.645"
"29",446,2022,"Melissa Paz",61,41,10,1,46,1,"1.148",0.184,11.672,"1.646"
"30",464,2022,"Kamryn Meyer",179,90,97,4,287,11,"1.134",0.148,101.503,"1.685"
"31",234,2022,"Brianna Enter",24.3333333333333,18,5,1,24,1,"1.438",0.205,6.74,"1.701"
"32",671,2022,"Vanessa Foreman",13.3333333333333,15,2,1,9,0,"2.100",0.263,4.125,"1.725"
"33",626,2022,"Allie Light",59.6666666666667,64,15,3,66,3,"3.637",0.259,19.073,"1.746"
"34",388,2022,"Sydney Nester",228,174,68,16,294,15,"2.364",0.204,84.763,"1.782"
"35",116,2022,"Megan Giese",153,110,30,5,177,12,"2.013",0.196,35.719,"1.792"
"36",10411,2022,"Hannah Houge",208,136,66,10,292,18,"1.683",0.184,76.654,"1.813"
"37",370,2022,"Jenna Perez",151,74,73,6,195,5,"1.483",0.143,79.49,"1.817"
"38",31,2022,"Chenise Delce",151.666666666667,126,35,14,188,11,"2.123",0.22,49.831,"1.833"
"39",285,2022,"Kelly Nelson",185.333333333333,155,47,5,228,15,"2.266",0.218,52.836,"1.833"
"40",77,2022,"Chloe Temples",115,95,26,6,139,9,"2.130",0.222,32.826,"1.835"
"41",1320,2022,"Morgan Hess",118.333333333333,89,35,10,133,5,"1.656",0.201,45.752,"1.842"
"42",235,2022,"Rylee Trlicek",40.6666666666667,39,11,1,29,0,"1.721",0.244,12.959,"1.859"
"43",112,2022,"Jada Cecil",172,115,40,15,219,14,"1.913",0.183,55.669,"1.871"
"44",164,2022,"Elise Sokolsky",159,138,41,13,180,9,"2.553",0.223,54.868,"1.891"
"45",669,2022,"Steffany Dickerson",193.666666666667,153,32,7,172,10,"1.482",0.213,39.79,"1.899"
"46",528,2022,"Tarni Stepto",64.3333333333333,48,17,9,81,4,"2.829",0.203,26.746,"1.903"
"47",110,2022,"Holly Azevedo",122,80,31,8,140,8,"1.607",0.179,39.656,"1.916"
"48",756,2022,"Brooke Nelson",31,31,4,3,31,2,"2.484",0.261,8,"1.916"
"49",71,2022,"Payton Gottshall",250.666666666667,156,53,25,370,30,"1.703",0.173,78.622,"1.937"
"50",110,2022,"Megan Faraimo",187,121,35,11,281,26,"1.984",0.178,46.647,"1.940"
"51",363,2022,"Er'ron Burton",68.3333333333333,62,19,4,76,4,"2.663",0.238,23.907,"1.946"
"52",414,2022,"Brianna Pratt",159.666666666667,152,37,5,170,11,"2.937",0.238,42.952,"1.955"
"53",111,2022,"Chrys Hildebrand",141.333333333333,101,36,12,194,14,"2.526",0.198,48.715,"1.961"
"54",310,2022,"Kara Zazzaro",164.333333333333,108,89,7,232,8,"2.258",0.186,96.657,"1.962"
"55",528,2022,"Sarah Haendiges",131.333333333333,112,30,8,130,7,"1.812",0.227,38.853,"1.981"
"56",2711,2022,"Halle Arends",137.333333333333,100,54,10,157,5,"1.937",0.2,64.728,"1.985"
"57",418,2022,"Alex Storako",200.333333333333,117,64,13,300,22,"1.712",0.164,77.584,"1.986"
"58",774,2022,"Reily Galloway",193.666666666667,129,57,12,267,19,"2.096",0.185,69.666,"1.987"
"59",493,2022,"Paige Vargas",171.333333333333,136,41,11,152,6,"2.206",0.21,52.794,"1.991"
"60",472,2022,"Felicia De la torre",71.6666666666666,135,69,13,46,31,"12.014",0.401,83.884,"10.172"
"61",231,2022,"Makaela Carr",11.6666666666667,25,10,3,3,5,"15.600",0.41,15.143,"10.800"
"62",81,2022,"Caroline Paolantonio",11.3333333333333,20,14,2,2,4,"14.206",0.417,17.765,"10.871"
"63",771,2022,"Lilli Weir",16,30,25,2,11,8,"11.812",0.395,28.875,"12.588"
"64",10411,2022,"Alyssa Kelly",145.666666666667,120,21,12,123,7,"1.634",0.222,33.824,"2.016"
"65",579,2022,"Taylor Rhinehart",57.3333333333333,41,12,2,51,3,"1.709",0.198,14.715,"2.034"
"66",625,2022,"Mckenzie Newcomb",188.333333333333,160,28,5,175,14,"1.858",0.227,33.85,"2.034"
"67",556,2022,"Tori Grifone",129,113,55,5,172,9,"2.442",0.23,60.876,"2.036"
"68",769,2022,"Jayme Ellers",33.6666666666667,21,6,1,49,5,"1.248",0.181,7.624,"2.044"
"69",671,2022,"Meghan Schorman",138.333333333333,105,33,12,183,14,"1.872",0.205,45.759,"2.046"
"70",758,2022,"Arissa Henderson",132.666666666667,127,49,3,127,4,"2.216",0.249,52.957,"2.053"
"71",454,2022,"Jenna Veber",144.333333333333,127,13,1,85,6,"1.261",0.224,14.88,"2.054"
"72",147,2022,"Millie Thompson",117.333333333333,92,17,7,108,8,"1.611",0.211,24.784,"2.059"
"73",460,2022,"Emily Winstead",133,82,52,12,177,9,"2.105",0.173,64.617,"2.062"
"74",485,2022,"Alexis Robinson",124.333333333333,120,17,5,79,4,"2.252",0.245,22.965,"2.078"
"75",514,2022,"Sydney Campbell",217.666666666667,202,35,8,164,10,"2.219",0.236,43.928,"2.083"
"76",554,2022,"Alexis Laudenslager",109,72,59,16,136,1,"2.248",0.181,75.661,"2.088"
"77",596,2022,"Emily Phelan",100.333333333333,155,28,3,88,4,"4.814",0.348,32.545,"2.091"
"78",504,2022,"Kailyn Packard",165.666666666667,131,58,10,198,11,"1.732",0.212,68.791,"2.104"
"79",87,2022,"Karli Ricketts",132,86,31,6,153,12,"2.227",0.18,37.652,"2.105"
"80",528,2022,"Mariah Mazon",186.333333333333,138,42,18,221,16,"1.653",0.196,60.741,"2.110"
"81",508,2022,"Sage Hoover",134,98,59,19,175,6,"2.560",0.2,78.731,"2.116"
"82",418,2022,"Annabelle Widra",32.3333333333333,22,7,2,31,2,"1.732",0.19,9.68,"2.122"
"83",739,2022,"Paige Rauch",151.333333333333,125,29,12,167,13,"2.267",0.218,41.826,"2.122"
"84",521,2022,"Miranda Elish",90.6666666666667,68,28,4,112,8,"2.007",0.201,32.75,"2.135"
"85",513,2022,"Shannon Becker",90,93,18,10,73,3,"1.711",0.262,29.033,"2.144"
"86",110,2022,"Lauren Shaw",57,38,9,4,46,3,"0.860",0.181,13.667,"2.154"
"87",363,2022,"Sydney Backstrom",224.666666666667,127,95,18,287,14,"1.682",0.159,113.565,"2.164"
"88",446,2022,"Anaya Hunte",110,79,29,6,124,9,"1.909",0.199,35.718,"2.164"
"89",626,2022,"Dee dee Hernandez",85,82,11,6,68,5,"1.976",0.252,17.965,"2.165"
"90",115,2022,"Isabella Smith",146,102,34,9,159,12,"1.870",0.192,43.699,"2.174"
"91",1320,2022,"Jenna Greene",152.666666666667,100,72,16,201,8,"1.880",0.184,88.655,"2.177"
"92",116,2022,"Emily Nicosia",59,67,11,2,39,2,"2.729",0.284,14.136,"2.180"
"93",147,2022,"Valerie Cagle",157.666666666667,132,38,11,175,13,"1.776",0.216,49.837,"2.184"
"94",504,2022,"Samantha Heyer",89,67,38,15,134,7,"2.124",0.201,53.753,"2.198"
"95",234,2022,"Kathryn Sandercock",194.333333333333,132,30,11,159,12,"1.441",0.19,41.679,"2.199"
"96",465,2022,"Jenny Bressler",211.666666666667,150,64,15,216,12,"1.654",0.195,79.709,"2.216"
"97",14927,2022,"Emma Summers",146,117,23,9,139,12,"2.062",0.21,32.801,"2.222"
"98",6,2022,"Alyssa Lopez",79.6666666666667,87,23,1,56,2,"2.987",0.271,25.092,"2.224"
"99",522,2022,"Nicole May",77.6666666666667,47,25,4,76,4,"1.082",0.176,29.605,"2.233"
"100",301,2022,"Tori Mcqueen",110.333333333333,96,21,5,126,12,"2.411",0.233,26.87,"2.237"
"101",539,2022,"Bailey Parshall",212.333333333333,153,32,15,211,19,"1.681",0.199,47.721,"2.240"
"102",62,2022,"Sophia Pappas",54,39,18,5,51,2,"2.074",0.201,23.722,"2.270"
"103",9,2022,"Olivia Valbak",78.6666666666667,91,26,2,73,4,"3.381",0.278,29.157,"2.273"
"104",674,2022,"Molly Millar",38.6666666666667,23,11,6,47,3,"1.991",0.173,17.595,"2.297"
"105",509,2022,"Danielle Williams",241,155,76,45,323,20,"1.859",0.185,121.643,"2.305"
"106",756,2022,"Gabbie Plain",181.333333333333,147,60,5,210,16,"2.046",0.215,65.811,"2.306"
"107",671,2022,"Sam Landry",117.333333333333,80,47,12,145,8,"2.148",0.186,59.682,"2.323"
"108",1395,2022,"Kennedy Ferguson",40.3333333333333,35,14,2,45,3,"2.950",0.233,16.868,"2.326"
"109",153,2022,"Bailey Misken",166.666666666667,188,53,17,130,3,"2.814",0.275,71.128,"2.334"
"110",222,2022,"Alayna Savaglio",156.666666666667,118,66,4,188,12,"2.279",0.208,70.753,"2.336"
"111",62,2022,"Lindsey Walter",16.3333333333333,25,0,0,7,1,"3.429",0.333,1.531,"2.339"
"112",367,2022,"Gabby Holloway",32.6666666666667,38,11,0,24,1,"3.214",0.284,12.163,"2.339"
"113",670,2022,"Jessica Mullins",235,183,53,16,247,21,"1.787",0.212,69.779,"2.340"
"114",550,2022,"Olivia Grey",184.333333333333,136,63,20,214,13,"2.089",0.203,83.738,"2.346"
"115",508,2022,"Bronte Rhoden",56.3333333333333,47,26,9,54,0,"2.237",0.216,35.834,"2.347"
"116",68,2022,"Lizzy Avery",175.666666666667,127,58,6,191,14,"2.072",0.196,64.723,"2.354"
"117",646,2022,"Jenna Hardy",107.333333333333,105,17,3,84,8,"2.543",0.251,20.978,"2.363"
"118",646,2022,"Olivia Lackie",155.666666666667,92,51,8,208,18,"2.024",0.168,59.591,"2.368"
"119",664,2022,"Jana Lee",93.6666666666667,111,18,7,65,4,"3.811",0.286,26.185,"2.368"
"120",193,2022,"Peyton St george",143.666666666667,113,35,6,172,17,"2.193",0.211,41.787,"2.400"
"121",115,2022,"Georgeanna Barefoot",168,138,46,6,149,11,"1.750",0.212,52.821,"2.406"
"122",1356,2022,"Carley Nance",106.333333333333,100,11,4,100,12,"2.107",0.242,15.94,"2.409"
"123",180,2022,"Emily Winburn",131.333333333333,115,34,11,112,7,"2.612",0.23,45.876,"2.415"
"124",505,2022,"Lauryn Hicks",141,124,35,9,162,15,"2.929",0.228,44.879,"2.421"
"125",68,2022,"Allison Boaz",187.333333333333,157,40,6,118,8,"1.420",0.222,46.838,"2.432"
"126",148,2022,"Melissa Holzopfel",182.666666666667,179,66,8,211,16,"3.027",0.25,74.98,"2.444"
"127",796,2022,"Maddie Schwartz",213,214,53,11,130,6,"2.498",0.255,65.005,"2.447"
"128",459,2022,"Morgan Scott",249,198,74,8,286,26,"2.277",0.212,82.795,"2.448"
"129",1157,2022,"Melanie Bennett",185.333333333333,198,56,9,171,12,"2.568",0.27,66.068,"2.449"
"130",112,2022,"Gabby Williams",94,87,38,6,83,3,"2.606",0.235,44.926,"2.453"
"131",371,2022,"Peyton Pepkowski",164.666666666667,155,48,5,166,14,"2.806",0.245,53.941,"2.455"
"132",164,2022,"Marybeth Olson",57,50,20,3,65,5,"2.702",0.229,23.877,"2.470"
"133",600,2022,"Rachel Marsden",180,170,51,4,141,10,"2.372",0.241,55.944,"2.472"
"134",664,2022,"Morgan Leinstock",199,194,58,11,161,10,"2.357",0.247,69.975,"2.475"
"135",579,2022,"Dana Vatakis",104.333333333333,103,32,12,101,6,"3.220",0.245,44.987,"2.477"
"136",639,2022,"Adriana Romano",110.666666666667,87,54,13,135,6,"2.467",0.212,67.786,"2.481"
"137",817,2022,"Bree Kohler",49.3333333333333,58,19,4,52,3,"3.831",0.294,24.176,"2.481"
"138",392,2022,"Courtney Wyche",124.333333333333,105,53,10,128,6,"1.971",0.222,63.845,"2.488"
"139",688,2022,"Lindsey Hendrix",98.6666666666666,90,35,10,95,5,"2.270",0.238,45.912,"2.501"
"140",2711,2022,"Erin Kyle",85.3333333333333,81,16,4,32,1,"1.887",0.244,20.949,"2.505"
"141",81,2022,"Jocelyn Bodington",60.3333333333333,68,26,5,56,2,"3.249",0.288,32.127,"2.516"
"142",497,2022,"Ashley Peters",171,151,34,11,155,15,"2.211",0.232,45.883,"2.517"
