"","team_id","season","player","ab","h","x2b","x3b","hr","rbi","r","bb","hbp","k","sb","cs","avg","obp","ops"
"1",413,2019,"Abby Anderson",1,1,0,0,1,2,1,0,0,0,0,0,"1.000",1,"5.000"
"2",454,2019,"Carly St george",1,1,1,0,0,2,0,0,0,0,0,0,"1.000",1,"3.000"
"3",413,2019,"Jasmine Wessel",2,1,0,0,1,2,1,1,0,0,0,0,"0.500",0.667,"2.667"
"4",1004,2019,"Jordan Johnson",3,3,2,0,0,2,1,0,0,0,0,0,"1.000",1,"2.667"
"5",508,2019,"Marissa Reed",2,1,0,0,1,1,1,0,0,0,0,0,"0.500",0.5,"2.500"
"6",545,2019,"Brittany Knight",2,1,0,0,1,2,1,0,0,0,0,0,"0.500",0.5,"2.500"
"7",413,2019,"Rebecca Gonzales",3,2,2,0,0,0,0,1,0,0,0,0,"0.667",0.75,"2.083"
"8",7,2019,"Justine Jean",1,1,0,0,0,1,1,0,0,0,0,0,"1.000",1,"2.000"
"9",29,2019,"Riley Kuderca",1,1,0,0,0,0,7,0,0,0,1,3,"1.000",1,"2.000"
"10",167,2019,"Katie Hale",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"11",189,2019,"Nicole Timmons",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"12",275,2019,"Mackenzie Tyler",1,1,0,0,0,0,5,1,0,0,3,1,"1.000",1,"2.000"
"13",283,2019,"Alexa Corben",1,1,0,0,0,0,0,0,1,0,0,0,"1.000",1,"2.000"
"14",347,2019,"Kayla Saul",1,1,0,0,0,0,1,0,0,0,1,0,"1.000",1,"2.000"
"15",380,2019,"Emily Reid",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"16",450,2019,"Katie Olson",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000"
"17",498,2019,"Blaire Wilson",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000"
"18",504,2019,"Hannah Loving",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"19",563,2019,"Kayla Huffman",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000"
"20",649,2019,"Olivia Pfeifer",1,1,0,0,0,0,12,0,0,0,2,0,"1.000",1,"2.000"
"21",694,2019,"Matty Moss",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"22",711,2019,"Katie Capizzi",1,1,0,0,0,0,3,0,0,0,0,0,"1.000",1,"2.000"
"23",1004,2019,"Callie Eary",1,1,0,0,0,0,11,0,0,0,4,0,"1.000",1,"2.000"
"24",1157,2019,"Andrea Summey",1,1,0,0,0,0,1,0,0,0,0,2,"1.000",1,"2.000"
"25",1320,2019,"Hailey Caswell",1,1,0,0,0,0,0,1,0,0,0,0,"1.000",1,"2.000"
"26",356,2019,"Bekah Kirker",2,1,1,0,0,0,2,1,0,0,0,0,"0.500",0.667,"1.667"
"27",10411,2019,"Celina Sullivan",3,1,0,0,1,2,1,0,0,1,0,0,"0.333",0.333,"1.666"
"28",255,2019,"Isabella Many",5,3,2,0,0,2,1,0,0,0,0,0,"0.600",0.6,"1.600"
"29",17,2019,"Daijah Richardson",5,3,1,0,0,3,9,4,0,1,2,2,"0.600",0.778,"1.578"
"30",430,2019,"Kayla Boseman",7,3,2,0,1,2,1,0,0,3,0,0,"0.429",0.429,"1.572"
"31",10411,2019,"Alyssa Oakes",132,53,8,1,22,73,42,40,3,20,5,1,"0.402",0.536,"1.513"
"32",334,2019,"Abbey Cheek",148,64,13,0,19,51,53,61,4,13,8,1,"0.432",0.6,"1.505"
"33",356,2019,"Camryn Pryor",4,2,0,1,0,3,1,0,0,0,0,0,"0.500",0.5,"1.500"
"34",458,2019,"Anna Devereaux",2,1,1,0,0,0,8,0,0,0,0,0,"0.500",0.5,"1.500"
"35",368,2019,"Courtney Cashman",129,66,15,1,10,30,46,39,2,8,6,1,"0.512",0.622,"1.498"
"36",739,2019,"Paige Rauch",152,67,10,5,18,50,49,38,2,15,4,1,"0.441",0.554,"1.482"
"37",30024,2019,"Peyton Angulo",29,17,6,0,0,5,10,7,1,1,2,0,"0.586",0.676,"1.469"
"38",796,2019,"Kayla Konwent",161,74,20,1,15,50,40,39,8,20,2,1,"0.460",0.582,"1.458"
"39",450,2019,"Erin Meagher",8,4,0,0,1,4,7,0,1,2,0,0,"0.500",0.556,"1.431"
"40",313,2019,"Gabby Laccona",5,3,2,0,0,1,1,0,0,0,0,0,"0.600",0.429,"1.429"
"41",101,2019,"Megan Stevens",144,63,20,3,13,55,35,30,4,19,0,4,"0.438",0.539,"1.428"
"42",257,2019,"Alyssa Dicarlo",168,64,14,2,23,58,65,51,1,32,4,2,"0.381",0.52,"1.419"
"43",14,2019,"Mckenzie Bump",6,4,0,0,0,1,3,1,1,0,1,1,"0.667",0.75,"1.417"
"44",237,2019,"Sara Lann",3,2,0,0,0,0,0,1,0,0,0,0,"0.667",0.75,"1.417"
"45",522,2019,"Caleigh Clifton",160,64,13,6,17,52,68,43,10,20,9,0,"0.400",0.539,"1.414"
"46",191,2019,"Linda Rush",188,80,19,0,22,80,71,38,0,24,5,0,"0.426",0.518,"1.396"
"47",513,2019,"Cait Brooks",152,64,8,0,20,57,45,38,0,11,3,0,"0.421",0.52,"1.388"
"48",317,2019,"Kate Gordon",189,80,15,2,23,60,66,28,2,20,5,0,"0.423",0.498,"1.387"
"49",627,2019,"Hayley Hensley",8,4,0,0,1,2,2,0,0,2,0,0,"0.500",0.5,"1.375"
"50",654,2019,"Rachel Anderson",178,81,12,10,12,55,51,33,5,16,23,8,"0.455",0.538,"1.375"
"51",522,2019,"Audrie Lavalley",11,5,2,0,1,3,16,0,0,2,3,1,"0.455",0.455,"1.364"
"52",742,2019,"Olivia Lattin",11,6,0,0,1,2,5,0,0,0,0,0,"0.545",0.545,"1.363"
"53",8,2019,"Bailey Hemphill",190,72,9,0,26,84,44,57,2,19,1,1,"0.379",0.524,"1.361"
"54",381,2019,"Lauren Pitney",117,48,7,1,10,36,40,59,6,15,1,0,"0.410",0.617,"1.361"
"55",430,2019,"Mia Davidson",169,63,8,0,26,64,52,23,14,22,2,0,"0.373",0.476,"1.358"
"56",313,2019,"Samantha Troetti",3,2,0,0,0,1,0,0,0,0,0,0,"0.667",0.667,"1.334"
"57",332,2019,"Katie Barter",3,2,0,0,0,1,0,0,0,0,0,0,"0.667",0.667,"1.334"
"58",504,2019,"Sammey Bunch",153,61,10,3,16,48,50,26,9,14,14,2,"0.399",0.508,"1.325"
"59",172,2019,"Micah Schroder",112,53,10,2,7,40,24,15,1,7,2,0,"0.473",0.535,"1.321"
"60",302,2019,"Kayla Wedl",170,76,12,4,15,58,62,18,0,18,18,0,"0.447",0.487,"1.316"
"61",17,2019,"Zyon Feazell",8,4,0,1,0,3,6,1,0,1,0,0,"0.500",0.556,"1.306"
"62",28,2019,"Kindra Hackbarth",167,68,18,2,15,55,64,28,2,30,15,1,"0.407",0.495,"1.303"
"63",639,2019,"Madysen Cossack",137,61,13,0,10,45,26,31,0,11,1,0,"0.445",0.541,"1.300"
"64",742,2019,"Hannah Jones",5,1,0,0,1,4,1,3,0,2,0,0,"0.200",0.5,"1.300"
"65",277,2019,"Callee Heen",123,46,4,1,15,46,27,31,4,18,3,1,"0.374",0.509,"1.298"
"66",683,2019,"Melissa Rahrich",159,67,11,0,17,60,40,10,9,2,3,1,"0.421",0.48,"1.291"
"67",235,2019,"Amanda Lorenz",182,77,14,4,11,41,56,62,2,16,4,0,"0.423",0.564,"1.289"
"68",371,2019,"Allyson Ivey",137,63,11,0,9,54,29,24,6,13,2,0,"0.460",0.544,"1.281"
"69",29,2019,"Alyssa Palomino",194,76,18,2,19,67,60,33,3,34,0,0,"0.392",0.481,"1.280"
"70",519,2019,"Morgan Geno",150,53,6,0,19,60,34,43,5,27,0,0,"0.353",0.505,"1.278"
