"","team_id","player_id","season","player","ab","h","x2b","x3b","hr","rbi","r","bb","hbp","k","sb","cs","avg","obp","ops","team"
"1",452,74963,2020,"Gabby Street",1,1,0,0,1,2,1,0,0,0,0,0,"1.000",1,"5.000","Mount Union"
"2",509,23515,2020,"Emmie Farnam",1,1,0,0,1,3,1,0,0,0,0,0,"1.000",1,"5.000","Northwestern"
"3",1355,57955,2020,"Hannah Ortiz",2,2,0,0,2,4,2,1,0,0,0,0,"1.000",1,"5.000","Schreiner"
"4",30179,58957,2020,"Abbey Parks",1,1,0,0,1,2,1,0,0,0,0,0,"1.000",1,"5.000","Okla. Christian"
"5",30199,41517,2020,"Haylee Kloosterman",1,1,0,0,1,1,2,1,0,0,0,1,"1.000",1,"5.000","CUI"
"6",259,31835,2020,"Jess Handzo",1,1,0,1,0,1,1,0,0,0,0,0,"1.000",1,"4.000","Rowan"
"7",259,39700,2020,"Steph Kantanas",1,1,0,1,0,1,1,0,0,0,0,0,"1.000",1,"4.000","Rowan"
"8",1000,44970,2020,"Madison Levi",1,1,0,1,0,1,0,0,0,0,0,0,"1.000",1,"4.000","Carson-Newman"
"9",620,60829,2020,"Nicole Pieper",2,2,0,0,1,3,2,0,0,0,0,0,"1.000",1,"3.500","St. Thomas (MN)"
"10",22235,100,2020,"Alyssa Abe",3,2,0,0,2,3,2,0,0,0,0,0,"0.667",0.667,"3.334","Lewis & Clark"
"11",245,70084,2020,"Ariel Senics",7,5,2,0,3,11,6,2,0,0,3,0,"0.714",0.778,"3.064","Gallaudet"
"12",118,44630,2020,"Anja Leitz-najarian",1,1,1,0,0,1,1,0,0,0,0,0,"1.000",1,"3.000","Carleton"
"13",118,13602,2020,"Caitlin Chu",1,1,1,0,0,2,1,0,0,0,0,0,"1.000",1,"3.000","Carleton"
"14",142,71712,2020,"Lexi Singh",1,1,1,0,0,2,1,0,0,0,1,0,"1.000",1,"3.000","Claremont-M-S"
"15",142,75441,2020,"Maren Summers",1,1,1,0,0,0,0,0,0,0,0,0,"1.000",1,"3.000","Claremont-M-S"
"16",200,2356,2020,"Jacky Arndt",1,1,1,0,0,1,0,0,0,0,0,0,"1.000",1,"3.000","Eastern Conn. St."
"17",245,51713,2020,"Jenny Mendis",1,1,1,0,0,1,2,1,0,0,1,0,"1.000",1,"3.000","Gallaudet"
"18",257,75482,2020,"Shelby Suplee",1,1,1,0,0,1,0,0,0,0,0,0,"1.000",1,"3.000","Georgia"
"19",265,25537,2020,"Mariah Francis",2,2,0,1,0,2,4,1,0,0,0,0,"1.000",1,"3.000","Grove City"
"20",300,3841,2020,"Erica Barker",1,1,1,0,0,0,1,0,0,0,0,0,"1.000",1,"3.000","Ill. Wesleyan"
"21",446,65682,2020,"Summer Rocha",1,1,1,0,0,1,2,0,0,0,0,0,"1.000",1,"3.000","Morgan St."
"22",584,19546,2020,"Ali Diblasio",2,2,0,1,0,0,1,0,0,0,0,0,"1.000",1,"3.000","Rollins"
