"","team_id","player_id","season","player","ab","h","x2b","x3b","hr","rbi","r","bb","hbp","k","sb","cs","avg","obp","ops"
"1",30192,36524,2025,"Mackinzie Jefferson",1,1,0,0,1,3,1,0,0,0,0,0,"1.000",1,"5.000"
"2",30240,61730,2025,"Elissa Rich",3,3,1,0,2,3,3,0,0,0,1,0,"1.000",1,"4.333"
"3",579,7919,2025,"Mary Brant",1,1,0,1,0,0,0,0,0,0,0,0,"1.000",1,"4.000"
"4",745,329,2025,"Emma Adams",2,2,1,0,1,2,2,0,0,0,0,0,"1.000",1,"4.000"
"5",8736,76490,2025,"Peyton Verdon",1,1,0,1,0,0,1,0,0,0,0,1,"1.000",1,"4.000"
"6",77,45949,2025,"Miranda Mansfield",1,1,0,1,0,0,2,2,0,0,0,0,"1.000",0.75,"3.750"
"7",47,78304,2025,"Madison Weaver",2,2,0,0,1,3,2,0,0,0,0,0,"1.000",1,"3.500"
"8",584,49951,2025,"Brie Michelli",2,2,0,0,1,1,2,0,0,0,0,0,"1.000",1,"3.500"
"9",745,5738,2025,"Lauren Bible",1,1,0,1,0,1,1,0,0,0,0,0,"1.000",0.5,"3.500"
"10",11740,64498,2025,"Olivia Ryan",2,2,0,0,1,4,1,1,0,0,0,0,"1.000",1,"3.500"
"11",457,56455,2025,"Lilly Parrish",3,3,1,0,1,2,2,1,1,0,0,0,"1.000",1,"3.333"
"12",497,66267,2025,"Sofia Schow",1,1,0,1,0,0,1,0,0,0,0,0,"1.000",0.333,"3.333"
"13",6,10522,2025,"Jalia Callaway",1,1,1,0,0,1,0,0,0,0,0,0,"1.000",1,"3.000"
"14",6,72495,2025,"Kaidence Swoopes",1,1,1,0,0,0,1,1,0,0,0,0,"1.000",1,"3.000"
"15",108,3311,2025,"Amanda Baldwin",1,1,1,0,0,0,1,0,0,0,0,0,"1.000",1,"3.000"
"16",178,66069,2025,"Ashlyn Schmidt",1,1,1,0,0,2,0,0,0,0,0,0,"1.000",1,"3.000"
"17",224,80600,2025,"Jasyl Withers",1,1,1,0,0,2,3,0,0,0,0,0,"1.000",1,"3.000"
"18",409,24336,2025,"Abby Fowler",1,1,1,0,0,1,0,0,0,0,0,0,"1.000",1,"3.000"
"19",411,79966,2025,"Maddie Williams",1,1,1,0,0,1,0,0,0,0,0,0,"1.000",1,"3.000"
