"team_id","player_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip","team"
235,4031,2019,"Kelly Barnhill",277.1,148,79,31,347,22,"1.667",0.152,0.931,"2.119","Florida"
249,43740,2019,"Sierra Lange",262.3,254,69,13,243,25,"2.663",0.239,1.278,"2.723","George Washington"
671,22503,2019,"Summer Ellyson",261.2,146,55,8,346,14,"1.097",0.154,0.799,"1.173","Louisiana"
439,37669,2019,"Alyssa Irons",260.2,169,49,22,228,7,"1.423",0.177,0.921,"1.817","Monmouth"
262,45761,2019,"Allison Lipovsky",252,141,51,5,362,10,"0.944",0.157,0.782,"0.710","Grand Valley St."
689,20550,2019,"Makaleigh Dooley",245.3,166,19,12,225,8,"1.053",0.18,0.801,"1.371","Tampa"
428,24544,2019,"Amber Fiser",245,153,71,20,326,10,"1.285",0.171,0.996,"1.384","Minnesota"
388,78066,2019,"Abigail Tolbert",243.2,207,90,28,186,16,"2.702",0.216,1.335,"3.180","Marshall"
483,43646,2019,"Megan Landry",241.1,192,32,15,181,22,"1.625",0.207,0.991,"2.669","Nicholls"
30154,42448,2019,"Nikkie Kovalsky",236.2,200,63,29,206,18,"1.893",0.218,1.234,"2.814","Young Harris"
529,17459,2019,"Jordan Dail",235.3,233,123,33,236,40,"4.097",0.246,1.65,"4.588","Oregon"
112,81784,2019,"Robyn Wampler",230.3,188,62,11,173,12,"2.061",0.21,1.13,"2.526","UC San Diego"
757,30973,2019,"Megan Guitar",230.1,205,52,14,208,15,"2.005",0.224,1.176,"2.300","Wayne St. (MI)"
676,83731,2019,"Kassidy Wilbur",227,171,111,9,256,16,"1.819",0.199,1.281,"2.647","SFA"
391,15547,2019,"Courtney Coppersmith",226.3,127,92,17,340,14,"2.005",0.153,1.04,"1.646","UMBC"
505,28493,2019,"Taylor Ginther",226.2,226,54,22,101,11,"2.225",0.246,1.333,"3.146","Northern Ky."
360,72429,2019,"Bekah Slattery",223.2,145,46,8,316,10,"1.502",0.173,0.89,"0.880","Lock Haven"
502,80659,2019,"Valerie Vidal",223.1,330,61,17,134,38,"5.327",0.323,1.826,"4.459","Northern Colo."
457,61148,2019,"Brittany Pickett",221.2,182,62,15,215,22,"2.084",0.211,1.168,"2.792","North Carolina"
509,84022,2019,"Danielle Williams",220.2,127,45,25,305,18,"1.619",0.163,0.893,"1.647","Northwestern"
519,50432,2019,"Madi Mccrady",219.1,185,97,29,202,23,"3.096",0.216,1.418,"3.645","Ohio"
1460,83461,2019,"Caitlyn Whiteside",219.1,184,51,13,112,19,"2.172",0.214,1.131,"3.381","Wilmington (DE)"
30180,54134,2019,"Andrea Morales",219.1,166,28,12,223,13,"1.627",0.201,0.939,"1.684","Rogers St."
128,83288,2019,"Alea White",218.1,178,66,21,174,15,"1.635",0.21,1.214,"2.895","UCF"
