"","team","game_id","opponent","last","first","ip","ha","er","bb","hb","so","bf","hr_a","go","fo","season","team_id","player"
"1","A&M-Corpus Christi","4499653","Georgetown","Aholelei","Primrose",7,3,2,6,0,10,31,1,3,8,2024,26172,"Primrose Aholelei"
"2","A&M-Corpus Christi","4512744","Southeastern La.","Saenz","Ariella",6.2,8,7,2,0,1,31,0,9,10,2024,26172,"Ariella Saenz"
"3","A&M-Corpus Christi","4504840","Northwestern St.","Aholelei","Primrose",7,6,2,4,0,8,30,0,4,8,2024,26172,"Primrose Aholelei"
"4","A&M-Corpus Christi","5253755","UIW","Saenz","Ariella",1,6,4,0,0,1,8,0,1,0,2024,26172,"Ariella Saenz"
"5","A&M-Corpus Christi","4510925","McNeese","Aholelei","Primrose",6,7,1,1,1,6,27,0,7,4,2024,26172,"Primrose Aholelei"
"6","A&M-Corpus Christi","4512976","SFA","Aholelei","Primrose",1,0,0,1,0,1,4,0,1,1,2024,26172,"Primrose Aholelei"
"7","A&M-Corpus Christi","4510925","McNeese","Saenz","Ariella",1,0,0,0,0,0,3,0,1,2,2024,26172,"Ariella Saenz"
"8","A&M-Corpus Christi","4512179","Lamar University","Saenz","Ariella",6,9,2,0,0,5,29,0,11,2,2024,26172,"Ariella Saenz"
"9","A&M-Corpus Christi","4513394","Houston Christian","Galvan","Siarah",5.1,8,3,0,1,6,25,0,8,2,2024,26172,"Siarah Galvan"
"10","A&M-Corpus Christi","4498466","SFA","Winfrey","Kendra",3.2,3,0,2,1,2,15,0,4,3,2024,26172,"Kendra Winfrey"
"11","A&M-Corpus Christi","4512976","SFA","Saenz","Ariella",1.1,2,0,1,0,0,7,0,2,2,2024,26172,"Ariella Saenz"
"12","A&M-Corpus Christi","4498466","SFA","Aholelei","Primrose",3.1,4,2,2,0,1,16,0,5,4,2024,26172,"Primrose Aholelei"
"13","A&M-Corpus Christi","4511709","Nicholls","Saenz","Ariella",5.1,9,6,0,1,2,27,0,5,9,2024,26172,"Ariella Saenz"
"14","A&M-Corpus Christi","5253731","UIW","Aholelei","Primrose",3.1,6,6,2,0,1,19,0,5,4,2024,26172,"Primrose Aholelei"
"15","A&M-Corpus Christi","4498125","SFA","Aholelei","Primrose",7,3,0,4,0,6,27,0,5,9,2024,26172,"Primrose Aholelei"
"16","A&M-Corpus Christi","4506055","Houston Christian","Aholelei","Primrose",7,3,2,3,1,7,29,1,7,7,2024,26172,"Primrose Aholelei"
