"","team_id","player_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip","team"
"1",1176,59618,2025,"Halle Grace Patton",224.3,192,54,13,128,8,"1.557",0.222,1.152,"2.618","Lincoln Memorial"
"2",414,64211,2025,"Madilyn Reeves",199.3,200,102,16,173,23,"3.433",0.251,1.592,"3.937","Miami (OH)"
"3",197,17806,2025,"Sarah Davenport",199.2,121,68,1,322,9,"1.437",0.167,0.951,"0.798","East Stroudsburg"
"4",68,64827,2025,"Kasey Ricard",195.2,166,44,4,185,14,"2.077",0.217,1.095,"2.175","Boston U."
"5",562,36100,2025,"Sydney Horan",183.2,171,40,21,127,11,"2.439",0.233,1.263,"2.792","Quinnipiac"
"6",366,25022,2025,"Allie Floyd",183.1,175,48,14,170,21,"2.788",0.242,1.293,"3.049","Louisiana Tech"
"7",149,61132,2025,"Nicolette Picone",179.1,156,43,14,137,12,"2.070",0.221,1.189,"2.696","Coastal Carolina"
"8",11740,30886,2025,"Haley Guffey",178.1,165,40,7,99,9,"2.121",0.235,1.19,"2.737","West Florida"
"9",72,40726,2025,"Sydney Kennedy",176.1,147,99,12,122,11,"2.303",0.214,1.463,"3.716","Bradley"
"10",216,64213,2025,"Malorie Reeves",175.3,233,35,13,108,9,"3.823",0.299,1.598,"2.656","Emory & Henry"
"11",1376,66420,2025,"Brinson Rogers",175,79,52,14,252,5,"0.680",0.13,0.828,"1.024","Southern Ark."
"12",734,49657,2025,"Claire Maulding",174.2,136,49,25,154,19,"2.526",0.202,1.203,"3.322","Valdosta St."
"13",1238,45943,2025,"Taylor Lloyd",174.1,171,23,16,138,14,"2.532",0.244,1.206,"2.532","Montevallo"
"14",13028,54456,2025,"Katie Morris",173.2,141,77,10,153,17,"2.337",0.217,1.313,"3.413","Anderson (SC)"
"15",428,69901,2025,"Sydney Schwartz",170.2,178,62,11,133,19,"3.243",0.258,1.472,"3.573","Minnesota"
"16",437,17377,2025,"Stevie Dabbadie",170.1,238,91,10,80,9,"4.809",0.307,1.991,"3.927","Molloy"
"17",312,354,2025,"Jalen Adams",168.2,137,56,14,117,9,"2.158",0.205,1.227,"2.951","Iowa"
"18",1266,67739,2025,"Abby Rux",166.1,285,58,10,113,10,"5.388",0.349,2.123,"3.049","Northern St."
"19",354,27195,2025,"Delaney Garden",165.2,116,24,5,197,3,"1.901",0.186,0.875,"0.783","Lewis"
"20",130,82568,2025,"Brooke Weimer",165.1,107,126,8,196,8,"1.862",0.179,1.457,"3.089","Central Mo."
"21",14927,38975,2025,"Maya Johnson",165.1,86,17,0,293,4,"1.186",0.147,0.623,"-0.522","Belmont"
"22",645,38791,2025,"Charlie Johnson",165,146,43,5,69,1,"1.570",0.225,1.176,"2.515","Sonoma St."
"23",587,32656,2025,"Ella Harrison",162.2,147,63,12,199,10,"2.624",0.227,1.364,"2.136","Rutgers"
"24",19117,44902,2025,"Kendall Lemley",162.2,153,48,8,82,3,"2.366",0.234,1.285,"2.664","Salem (WV)"
"25",371,60195,2025,"Peyton Pepkowski",160.1,170,90,13,131,12,"4.413",0.255,1.704,"3.667","Loyola Chicago"
"26",651,20143,2025,"Payton Dixon",160,139,57,19,95,8,"2.361",0.216,1.343,"3.287","South Fla."
"27",670,2931,2025,"Maddy Azua",159.3,118,33,15,180,22,"2.583",0.195,1.038,"2.838","Texas St."
"28",339,29902,2025,"Haley Gravish",159.1,158,27,3,131,5,"2.549",0.246,1.18,"1.728","Kutztown"
"29",333,48217,2025,"Immi Mann",158.2,206,74,7,77,8,"4.991",0.297,1.811,"3.618","Ky. Wesleyan"
"30",533,27049,2025,"Gisselle Garcia",158.2,57,37,1,258,4,"0.574",0.107,0.599,"0.193","Pace"
"31",790,36453,2025,"Izzy Howe",158.2,94,89,20,171,10,"2.207",0.165,1.28,"3.125","Winona St."
"32",603,70486,2025,"Ana Serafinko",158.1,129,73,5,250,12,"2.475",0.206,1.307,"1.706","St. John's (NY)"
"33",9013,63196,2025,"Sydney Rader",158.1,114,51,8,159,4,"1.547",0.191,1.092,"1.838","Missouri Western"
"34",30134,60574,2025,"Laci Peskey",158.1,137,37,3,194,11,"2.257",0.217,1.119,"1.610","Black Hills St."
"35",1013,49321,2025,"Addison Mass",158,108,44,5,161,15,"2.081",0.182,0.993,"2.527","Charleston (WV)"
