"","X.1","X","season","head_coach","conference","record","win_perc"
"1",1,37,2024,"Jordan Clark","AAC","8-4-0",0.666666666666667
"2",2,0,2024,"Jordan Clark","AAC","8-4-0",0.666666666666667
"3",3,1,2023,"Jordan Clark","CUSA","35-20-0",0.636
"4",4,2,2022,"Chan Walker (12-9)Joan Joyce (17-17)","CUSA","29-26-0",0.527
"5",5,3,2021,"Joan Joyce","CUSA","12-35-0",0.255
"6",6,4,2020,"Joan Joyce","CUSA","8-14-0",0.364
"7",7,5,2019,"Joan Joyce","CUSA","20-30-0",0.4
"8",8,6,2018,"Joan Joyce","CUSA","30-26-0",0.536
"9",9,7,2017,"Joan Joyce","CUSA","35-21-0",0.625
"10",10,8,2016,"Joan Joyce","CUSA","51-9-0",0.85
"11",11,9,2015,"Joan Joyce","CUSA","39-19-1",0.672
"12",12,10,2014,"Joan Joyce","CUSA","33-22-0",0.6
"13",13,11,2013,"Joan Joyce","Sun Belt","28-29-0",0.491
"14",14,12,2012,"Joan Joyce","Sun Belt","15-39-0",0.278
"15",15,13,2011,"Joan Joyce","Sun Belt","34-25-0",0.576
"16",16,14,2010,"Joan Joyce","Sun Belt","28-26-0",0.519
"17",17,15,2009,"Joan Joyce","Sun Belt","30-30-0",0.5
"18",18,16,2008,"Joan Joyce","Sun Belt","35-26-0",0.574
"19",19,17,2007,"Joan Joyce","Sun Belt","42-23-0",0.646
"20",20,18,2006,"Joan Joyce","ASUN","35-25-0",0.583
"21",21,19,2005,"Joan Joyce","ASUN","37-32-0",0.536
"22",22,20,2004,"Joan Joyce","ASUN","56-18-0",0.757
"23",23,21,2003,"Joan Joyce","ASUN","44-28-0",0.611
"24",24,22,2002,"Joan Joyce","ASUN","62-13-0",0.827
"25",25,23,2001,"Joan Joyce","ASUN","46-21-0",0.687
"26",26,24,2000,"Joan Joyce","ASUN","57-17-0",0.77
"27",27,25,1999,"Joan Joyce","ASUN","49-20-0",0.71
"28",28,26,1998,"Joan Joyce","-","47-20-0",0.701
"29",29,27,1997,"Joan Joyce","ASUN","42-29-0",0.592
"30",30,28,1996,"Joan Joyce","-","37-32-0",0.536
"31",31,29,1995,"Joan Joyce","-","33-18-0",0.647
"32",32,30,1994,"","-","0-0-0",NA
"33",33,31,1993,"","-","0-0-0",NA
"34",34,32,1992,"","-","0-0-0",NA
"35",35,33,1991,"","-","0-0-0",NA
"36",36,34,1990,"","-","0-0-0",NA
"37",37,35,1989,"","-","0-0-0",NA
"38",38,36,1988,"","-","0-0-0",NA
