"","X","season","head_coach","conference","record","win_perc"
"1",41,2024,"Becky Pearl","GLVC","2-2-0",0.5
"2",0,2024,"Becky Pearl","GLVC","2-0-0",1
"3",1,2023,"Becky Pearl","GLVC","38-20-0",0.655
"4",2,2022,"Becky Pearl","GLVC","24-26-0",0.48
"5",3,2021,"Becky Pearl","GLVC","26-18-0",0.591
"6",4,2020,"Becky Pearl","GLVC","13-6-0",0.684
"7",5,2019,"Becky Pearl","GLVC","22-30-0",0.423
"8",6,2018,"Becky Pearl","GLVC","21-29-0",0.42
"9",7,2017,"Becky Pearl","GLVC","26-25-0",0.51
"10",8,2016,"Becky Pearl","GLVC","20-30-0",0.4
"11",9,2015,"Becky Pearl","GLVC","28-22-0",0.56
"12",10,2014,"George DiMatteo","GLVC","23-24-0",0.489
"13",11,2013,"George DiMatteo","GLVC","31-18-0",0.633
"14",12,2012,"George DiMatteo","GLVC","31-24-0",0.564
"15",13,2011,"George DiMatteo","GLVC","36-14-0",0.72
"16",14,2010,"George DiMatteo","GLVC","39-17-0",0.696
"17",15,2009,"George DiMatteo","GLVC","38-20-0",0.655
"18",16,2008,"George DiMatteo","GLVC","38-18-0",0.679
"19",17,2007,"George DiMatteo","GLVC","34-14-0",0.708
"20",18,2006,"George DiMatteo","GLVC","39-15-0",0.722
"21",19,2005,"George DiMatteo","GLVC","29-22-0",0.569
"22",20,2004,"George DiMatteo","GLVC","45-13-0",0.776
"23",21,2003,"George DiMatteo","GLVC","29-20-0",0.592
"24",22,2002,"George DiMatteo","GLVC","30-20-0",0.6
"25",23,2001,"George DiMatteo","-","55-13-0",0.809
"26",24,2000,"George DiMatteo","-","50-11-0",0.82
"27",25,1999,"George DiMatteo","-","34-16-1",0.68
"28",26,1998,"George DiMatteo","-","36-17-0",0.679
"29",27,1997,"George DiMatteo","-","46-17-0",0.73
"30",28,1996,"George DiMatteo","-","33-22-0",0.6
"31",29,1995,"George DiMatteo","-","15-17-1",0.469
"32",30,1994,"George DiMatteo","-","31-12-0",0.721
"33",31,1993,"George DiMatteo","-","26-16-0",0.619
"34",32,1992,"George DiMatteo","-","38-17-2",0.691
"35",33,1991,"George DiMatteo","-","25-12-0",0.676
"36",34,1990,"George DiMatteo","-","24-27-1",0.471
"37",35,1989,"George DiMatteo","-","19-24-1",0.442
"38",36,1988,"George DiMatteo","-","28-20-0",0.583
"39",37,1987,"George DiMatteo","-","36-17-0",0.679
"40",38,1986,"George DiMatteo","-","35-17-0",0.673
"41",39,1985,"George DiMatteo","-","36-15-0",0.706
"42",40,1984,"George DiMatteo","-","23-10-0",0.697
